trial,session,session_trial,trial_index,trial_type,picture_type,picture_label,sprang_form,suffix,suffix_label,rule_type,rule_id,stim_onset_s,stim_duration_s,repetition,total_repetition,item_repetition,rule_repetition,audio_file,recording_duration_s,duration_for_fmri_s,log_file,jitter_ms
1,1,1,1,trial-001-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,10.5308,4.0,1,1,1,1,Sub6002_001_gustar.wav,7.6617,7.6617,fmri_naming_task-20251125-101453-NYSHK.log,3662
2,1,2,2,trial-002-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,18.714,4.0,1,1,1,1,Sub6002_002_deprimir.wav,7.2838,7.2838,fmri_naming_task-20251125-101453-NYSHK.log,3284
3,1,3,3,trial-003-definis,3,definis,dofiniondo,is,-is,rule_is,4,26.5306,4.0,1,1,1,1,Sub6002_003_definis.wav,7.3911,7.3911,fmri_naming_task-20251125-101453-NYSHK.log,3391
4,1,4,4,trial-004-sentis,12,sentis,sontiondo,is,-is,rule_is,4,34.4472,4.0,1,1,1,2,Sub6002_004_sentis.wav,10.8601,10.8601,fmri_naming_task-20251125-101453-NYSHK.log,6860
5,1,5,5,trial-005-montas,9,montas,mantiando,as,-as,rule_as,3,45.8304,4.0,1,1,1,1,Sub6002_005_montas.wav,8.4143,8.4143,fmri_naming_task-20251125-101453-NYSHK.log,4414
6,1,6,6,trial-006-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,54.7804,4.0,1,1,1,2,Sub6002_006_comenzas.wav,8.5088,8.5088,fmri_naming_task-20251125-101453-NYSHK.log,4509
7,1,7,7,trial-007-dominas,5,dominas,damitiando,as,-as,rule_as,3,63.8136,4.0,1,1,1,3,Sub6002_007_dominas.wav,9.1357,9.1357,fmri_naming_task-20251125-101453-NYSHK.log,5136
8,1,8,8,trial-008-partir,10,partir,partiondo,ir,-ir,rule_ir,2,73.4802,4.0,1,1,1,2,Sub6002_008_partir.wav,10.6633,10.6633,fmri_naming_task-20251125-101453-NYSHK.log,6663
9,1,9,9,trial-009-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,84.6801,4.0,1,1,1,2,Sub6002_009_lavar.wav,7.511,7.511,fmri_naming_task-20251125-101453-NYSHK.log,3511
10,1,10,10,trial-010-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,92.7134,4.0,1,1,1,3,Sub6002_010_impedir.wav,10.0998,10.0998,fmri_naming_task-20251125-101453-NYSHK.log,6100
11,1,11,11,trial-011-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,103.3466,4.0,1,1,1,3,Sub6002_011_recibis.wav,7.573,7.573,fmri_naming_task-20251125-101453-NYSHK.log,3573
12,1,12,12,trial-012-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,111.4465,4.0,1,1,1,3,Sub6002_012_avanzar.wav,7.6722,7.6722,fmri_naming_task-20251125-101453-NYSHK.log,3672
13,1,13,13,trial-013-definis,3,definis,dofiniondo,is,-is,rule_is,4,119.6464,4.0,2,2,2,4,Sub6002_013_definis.wav,7.4664,7.4664,fmri_naming_task-20251125-101453-NYSHK.log,3466
