trial,session,session_trial,trial_index,trial_type,picture_type,picture_label,sprang_form,suffix,suffix_label,rule_type,rule_id,stim_onset_s,stim_duration_s,repetition,total_repetition,item_repetition,rule_repetition,audio_file,recording_duration_s,duration_for_fmri_s,log_file,jitter_ms
1,1,1,1,trial-001-definis,3,definis,dofiniondo,is,-is,rule_is,4,10.5436,4.0,1,1,1,1,Sub6020_001_definis.wav,8.3709,8.3709,fmri_naming_task-20251218-172753-GIXRX.log,4371
2,1,2,2,trial-002-dominas,5,dominas,damitiando,as,-as,rule_as,3,19.4435,4.0,1,1,1,1,Sub6020_002_dominas.wav,8.1164,8.1164,fmri_naming_task-20251218-172753-GIXRX.log,4116
3,1,3,3,trial-003-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,28.0934,4.0,1,1,1,1,Sub6020_003_lavar.wav,7.7672,7.7672,fmri_naming_task-20251218-172753-GIXRX.log,3767
4,1,4,4,trial-004-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,36.3933,4.0,1,1,1,1,Sub6020_004_deprimir.wav,10.1362,10.1362,fmri_naming_task-20251218-172753-GIXRX.log,6136
5,1,5,5,trial-005-montas,9,montas,mantiando,as,-as,rule_as,3,47.0599,4.0,1,1,1,2,Sub6020_005_montas.wav,8.9817,8.9817,fmri_naming_task-20251218-172753-GIXRX.log,4982
6,1,6,6,trial-006-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,56.5765,4.0,1,1,1,2,Sub6020_006_avanzar.wav,9.3057,9.3057,fmri_naming_task-20251218-172753-GIXRX.log,5306
7,1,7,7,trial-007-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,66.4097,4.0,1,1,1,2,Sub6020_007_impedir.wav,9.0602,9.0602,fmri_naming_task-20251218-172753-GIXRX.log,5060
8,1,8,8,trial-008-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,75.993,4.0,1,1,1,3,Sub6020_008_gustar.wav,7.2878,7.2878,fmri_naming_task-20251218-172753-GIXRX.log,3288
9,1,9,9,trial-009-partir,10,partir,partiondo,ir,-ir,rule_ir,2,83.8262,4.0,1,1,1,3,Sub6020_009_partir.wav,10.6926,10.6926,fmri_naming_task-20251218-172753-GIXRX.log,6693
10,1,10,10,trial-010-sentis,12,sentis,sontiondo,is,-is,rule_is,4,95.0428,4.0,1,1,1,2,Sub6020_010_sentis.wav,8.5004,8.5004,fmri_naming_task-20251218-172753-GIXRX.log,4500
11,1,11,11,trial-011-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,104.076,4.0,1,1,1,3,Sub6020_011_recibis.wav,9.2665,9.2665,fmri_naming_task-20251218-172753-GIXRX.log,5267
12,1,12,12,trial-012-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,113.8759,4.0,1,1,1,3,Sub6020_012_comenzas.wav,10.3584,10.3584,fmri_naming_task-20251218-172753-GIXRX.log,6358
13,1,13,13,trial-013-partir,10,partir,partiondo,ir,-ir,rule_ir,2,124.7591,4.0,2,2,2,4,Sub6020_013_partir.wav,8.8239,8.8239,fmri_naming_task-20251218-172753-GIXRX.log,4824
14,1,14,14,trial-014-definis,3,definis,dofiniondo,is,-is,rule_is,4,134.1091,4.0,2,2,2,4,Sub6020_014_definis.wav,8.6427,8.6427,fmri_naming_task-20251218-172753-GIXRX.log,4643
15,1,15,15,trial-015-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,143.2756,4.0,2,2,2,5,Sub6020_015_deprimir.wav,7.9629,7.9629,fmri_naming_task-20251218-172753-GIXRX.log,3963
16,1,16,16,trial-016-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,151.7589,4.0,2,2,2,5,Sub6020_016_recibis.wav,9.7819,9.7819,fmri_naming_task-20251218-172753-GIXRX.log,5782
17,1,17,17,trial-017-montas,9,montas,mantiando,as,-as,rule_as,3,162.0921,4.0,2,2,2,4,Sub6020_017_montas.wav,8.5037,8.5037,fmri_naming_task-20251218-172753-GIXRX.log,4504
18,1,18,18,trial-018-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,171.1254,4.0,2,2,2,4,Sub6020_018_lavar.wav,9.5735,9.5735,fmri_naming_task-20251218-172753-GIXRX.log,5574
19,1,19,19,trial-019-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,181.2253,4.0,2,2,2,5,Sub6020_019_comenzas.wav,9.0767,9.0767,fmri_naming_task-20251218-172753-GIXRX.log,5077
20,1,20,20,trial-020-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,190.8252,4.0,2,2,2,5,Sub6020_020_avanzar.wav,9.3757,9.3757,fmri_naming_task-20251218-172753-GIXRX.log,5376
21,1,21,21,trial-021-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,200.7251,4.0,2,2,2,6,Sub6020_021_gustar.wav,9.6646,9.6646,fmri_naming_task-20251218-172753-GIXRX.log,5665
22,1,22,22,trial-022-sentis,12,sentis,sontiondo,is,-is,rule_is,4,210.925,4.0,2,2,2,6,Sub6020_022_sentis.wav,7.6995,7.6995,fmri_naming_task-20251218-172753-GIXRX.log,3700
23,1,23,23,trial-023-dominas,5,dominas,damitiando,as,-as,rule_as,3,219.1582,4.0,2,2,2,6,Sub6020_023_dominas.wav,11.5047,11.5047,fmri_naming_task-20251218-172753-GIXRX.log,7505
24,1,24,24,trial-024-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,231.1914,4.0,2,2,2,6,Sub6020_024_impedir.wav,9.6362,9.6362,fmri_naming_task-20251218-172753-GIXRX.log,5636
25,1,25,25,trial-025-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,241.358,4.0,3,3,3,7,Sub6020_025_gustar.wav,7.9793,7.9793,fmri_naming_task-20251218-172753-GIXRX.log,3979
26,1,26,26,trial-026-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,249.8737,4.0,3,3,3,8,Sub6020_026_avanzar.wav,8.5595,8.5595,fmri_naming_task-20251218-172753-GIXRX.log,4559
27,1,27,27,trial-027-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,258.9578,4.0,3,3,3,7,Sub6020_027_recibis.wav,9.4426,9.4426,fmri_naming_task-20251218-172753-GIXRX.log,5443
28,1,28,28,trial-028-sentis,12,sentis,sontiondo,is,-is,rule_is,4,268.9244,4.0,3,3,3,8,Sub6020_028_sentis.wav,9.6821,9.6821,fmri_naming_task-20251218-172753-GIXRX.log,5682
29,1,29,29,trial-029-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,279.141,4.0,3,3,3,7,Sub6020_029_comenzas.wav,8.5805,8.5805,fmri_naming_task-20251218-172753-GIXRX.log,4580
30,1,30,30,trial-030-definis,3,definis,dofiniondo,is,-is,rule_is,4,288.2742,4.0,3,3,3,9,Sub6020_030_definis.wav,11.0134,11.0134,fmri_naming_task-20251218-172753-GIXRX.log,7013
31,1,31,31,trial-031-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,299.8241,4.0,3,3,3,9,Sub6020_031_lavar.wav,9.3037,9.3037,fmri_naming_task-20251218-172753-GIXRX.log,5304
32,1,32,32,trial-032-dominas,5,dominas,damitiando,as,-as,rule_as,3,309.6573,4.0,3,3,3,8,Sub6020_032_dominas.wav,7.8969,7.8969,fmri_naming_task-20251218-172753-GIXRX.log,3897
