trial,session,session_trial,trial_index,trial_type,picture_type,picture_label,sprang_form,suffix,suffix_label,rule_type,rule_id,stim_onset_s,stim_duration_s,repetition,total_repetition,item_repetition,rule_repetition,audio_file,recording_duration_s,duration_for_fmri_s,log_file,jitter_ms
1,1,1,1,trial-001-definis,3,definis,dofiniondo,is,-is,rule_is,4,10.5416,4.0,1,1,1,1,Sub6009_001_definis.wav,9.1975,9.1975,fmri_naming_task-20251204-112857-CGDNW.log,5198
2,1,2,2,trial-002-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,20.2749,4.0,1,1,1,1,Sub6009_002_gustar.wav,8.9868,8.9868,fmri_naming_task-20251204-112857-CGDNW.log,4987
3,1,3,3,trial-003-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,29.7915,4.0,1,1,1,1,Sub6009_003_impedir.wav,9.7317,9.7317,fmri_naming_task-20251204-112857-CGDNW.log,5732
4,1,4,4,trial-004-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,40.058,4.0,1,1,1,1,Sub6009_004_comenzas.wav,10.4559,10.4559,fmri_naming_task-20251204-112857-CGDNW.log,6456
5,1,5,5,trial-005-montas,9,montas,mantiando,as,-as,rule_as,3,51.0413,4.0,1,1,1,2,Sub6009_005_montas.wav,10.4492,10.4492,fmri_naming_task-20251204-112857-CGDNW.log,6449
6,1,6,6,trial-006-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,62.0245,4.0,1,1,1,2,Sub6009_006_avanzar.wav,9.0892,9.0892,fmri_naming_task-20251204-112857-CGDNW.log,5089
7,1,7,7,trial-007-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,71.6411,4.0,1,1,1,2,Sub6009_007_deprimir.wav,7.9811,7.9811,fmri_naming_task-20251204-112857-CGDNW.log,3981
8,1,8,8,trial-008-sentis,12,sentis,sontiondo,is,-is,rule_is,4,80.1576,4.0,1,1,1,2,Sub6009_008_sentis.wav,7.5628,7.5628,fmri_naming_task-20251204-112857-CGDNW.log,3563
9,1,9,9,trial-009-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,88.2576,4.0,1,1,1,3,Sub6009_009_lavar.wav,7.5365,7.5365,fmri_naming_task-20251204-112857-CGDNW.log,3536
10,1,10,10,trial-010-dominas,5,dominas,damitiando,as,-as,rule_as,3,96.3408,4.0,1,1,1,3,Sub6009_010_dominas.wav,9.4888,9.4888,fmri_naming_task-20251204-112857-CGDNW.log,5489
11,1,11,11,trial-011-partir,10,partir,partiondo,ir,-ir,rule_ir,2,106.3574,4.0,1,1,1,3,Sub6009_011_partir.wav,7.712,7.712,fmri_naming_task-20251204-112857-CGDNW.log,3712
12,1,12,12,trial-012-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,114.5906,4.0,1,1,1,3,Sub6009_012_recibis.wav,8.2849,8.2849,fmri_naming_task-20251204-112857-CGDNW.log,4285
13,1,13,13,trial-013-montas,9,montas,mantiando,as,-as,rule_as,3,123.4072,4.0,2,2,2,4,Sub6009_013_montas.wav,9.8828,9.8828,fmri_naming_task-20251204-112857-CGDNW.log,5883
14,1,14,14,trial-014-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,133.8405,4.0,2,2,2,5,Sub6009_014_comenzas.wav,10.6104,10.6104,fmri_naming_task-20251204-112857-CGDNW.log,6610
15,1,15,15,trial-015-partir,10,partir,partiondo,ir,-ir,rule_ir,2,144.9737,4.0,2,2,2,4,Sub6009_015_partir.wav,8.6312,8.6312,fmri_naming_task-20251204-112857-CGDNW.log,4631
16,1,16,16,trial-016-sentis,12,sentis,sontiondo,is,-is,rule_is,4,154.1403,4.0,2,2,2,4,Sub6009_016_sentis.wav,7.9696,7.9696,fmri_naming_task-20251204-112857-CGDNW.log,3970
17,1,17,17,trial-017-dominas,5,dominas,damitiando,as,-as,rule_as,3,162.6402,4.0,2,2,2,6,Sub6009_017_dominas.wav,8.0918,8.0918,fmri_naming_task-20251204-112857-CGDNW.log,4092
18,1,18,18,trial-018-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,171.2568,4.0,2,2,2,4,Sub6009_018_gustar.wav,8.1247,8.1247,fmri_naming_task-20251204-112857-CGDNW.log,4125
19,1,19,19,trial-019-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,179.9067,4.0,2,2,2,5,Sub6009_019_impedir.wav,8.436,8.436,fmri_naming_task-20251204-112857-CGDNW.log,4436
20,1,20,20,trial-020-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,188.8733,4.0,2,2,2,5,Sub6009_020_avanzar.wav,7.9711,7.9711,fmri_naming_task-20251204-112857-CGDNW.log,3971
21,1,21,21,trial-021-definis,3,definis,dofiniondo,is,-is,rule_is,4,197.3732,4.0,2,2,2,5,Sub6009_021_definis.wav,7.7353,7.7353,fmri_naming_task-20251204-112857-CGDNW.log,3735
22,1,22,22,trial-022-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,205.6398,4.0,2,2,2,6,Sub6009_022_deprimir.wav,11.564,11.564,fmri_naming_task-20251204-112857-CGDNW.log,7564
23,1,23,23,trial-023-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,217.7397,4.0,2,2,2,6,Sub6009_023_lavar.wav,8.7243,8.7243,fmri_naming_task-20251204-112857-CGDNW.log,4724
