trial,session,session_trial,trial_index,trial_type,picture_type,picture_label,sprang_form,suffix,suffix_label,rule_type,rule_id,stim_onset_s,stim_duration_s,repetition,total_repetition,item_repetition,rule_repetition,audio_file,recording_duration_s,duration_for_fmri_s,log_file,jitter_ms
1,1,1,1,trial-001-definis,3,definis,dofiniondo,is,-is,rule_is,4,10.5659,4.0,1,1,1,1,Sub6018_001_definis.wav,9.1975,9.1975,fmri_naming_task-20251218-150559-SFSLU.log,5198
2,1,2,2,trial-002-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,20.2991,4.0,1,1,1,1,Sub6018_002_gustar.wav,8.9868,8.9868,fmri_naming_task-20251218-150559-SFSLU.log,4987
3,1,3,3,trial-003-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,29.8157,4.0,1,1,1,1,Sub6018_003_impedir.wav,9.7317,9.7317,fmri_naming_task-20251218-150559-SFSLU.log,5732
4,1,4,4,trial-004-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,40.0989,4.0,1,1,1,1,Sub6018_004_comenzas.wav,10.4559,10.4559,fmri_naming_task-20251218-150559-SFSLU.log,6456
5,1,5,5,trial-005-montas,9,montas,mantiando,as,-as,rule_as,3,51.0821,4.0,1,1,1,2,Sub6018_005_montas.wav,10.4492,10.4492,fmri_naming_task-20251218-150559-SFSLU.log,6449
6,1,6,6,trial-006-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,62.0654,4.0,1,1,1,2,Sub6018_006_avanzar.wav,9.0892,9.0892,fmri_naming_task-20251218-150559-SFSLU.log,5089
7,1,7,7,trial-007-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,71.6986,4.0,1,1,1,2,Sub6018_007_deprimir.wav,7.9811,7.9811,fmri_naming_task-20251218-150559-SFSLU.log,3981
8,1,8,8,trial-008-sentis,12,sentis,sontiondo,is,-is,rule_is,4,80.2152,4.0,1,1,1,2,Sub6018_008_sentis.wav,7.5628,7.5628,fmri_naming_task-20251218-150559-SFSLU.log,3563
9,1,9,9,trial-009-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,88.2984,4.0,1,1,1,3,Sub6018_009_lavar.wav,7.5365,7.5365,fmri_naming_task-20251218-150559-SFSLU.log,3536
10,1,10,10,trial-010-dominas,5,dominas,damitiando,as,-as,rule_as,3,96.365,4.0,1,1,1,3,Sub6018_010_dominas.wav,9.4888,9.4888,fmri_naming_task-20251218-150559-SFSLU.log,5489
11,1,11,11,trial-011-partir,10,partir,partiondo,ir,-ir,rule_ir,2,106.3816,4.0,1,1,1,3,Sub6018_011_partir.wav,7.712,7.712,fmri_naming_task-20251218-150559-SFSLU.log,3712
12,1,12,12,trial-012-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,114.6315,4.0,1,1,1,3,Sub6018_012_recibis.wav,8.2849,8.2849,fmri_naming_task-20251218-150559-SFSLU.log,4285
13,1,13,13,trial-013-montas,9,montas,mantiando,as,-as,rule_as,3,123.4481,4.0,2,2,2,4,Sub6018_013_montas.wav,9.8828,9.8828,fmri_naming_task-20251218-150559-SFSLU.log,5883
14,1,14,14,trial-014-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,133.8646,4.0,2,2,2,5,Sub6018_014_comenzas.wav,10.6104,10.6104,fmri_naming_task-20251218-150559-SFSLU.log,6610
15,1,15,15,trial-015-partir,10,partir,partiondo,ir,-ir,rule_ir,2,144.9979,4.0,2,2,2,4,Sub6018_015_partir.wav,8.6312,8.6312,fmri_naming_task-20251218-150559-SFSLU.log,4631
16,1,16,16,trial-016-sentis,12,sentis,sontiondo,is,-is,rule_is,4,154.1645,4.0,2,2,2,4,Sub6018_016_sentis.wav,7.9696,7.9696,fmri_naming_task-20251218-150559-SFSLU.log,3970
17,1,17,17,trial-017-dominas,5,dominas,damitiando,as,-as,rule_as,3,162.6644,4.0,2,2,2,6,Sub6018_017_dominas.wav,8.0918,8.0918,fmri_naming_task-20251218-150559-SFSLU.log,4092
18,1,18,18,trial-018-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,171.2809,4.0,2,2,2,4,Sub6018_018_gustar.wav,8.1247,8.1247,fmri_naming_task-20251218-150559-SFSLU.log,4125
19,1,19,19,trial-019-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,179.9309,4.0,2,2,2,5,Sub6018_019_impedir.wav,8.436,8.436,fmri_naming_task-20251218-150559-SFSLU.log,4436
