trial,session,session_trial,trial_index,trial_type,picture_type,picture_label,sprang_form,suffix,suffix_label,rule_type,rule_id,stim_onset_s,stim_duration_s,repetition,total_repetition,item_repetition,rule_repetition,audio_file,recording_duration_s,duration_for_fmri_s,log_file,jitter_ms
1,1,1,1,trial-001-definis,3,definis,dofiniondo,is,-is,rule_is,4,10.5473,4.0,1,1,1,1,Sub6005_001_definis.wav,9.1857,9.1857,fmri_naming_task-20251125-163239-TDNEY.log,5186
2,1,2,2,trial-002-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,20.2805,4.0,1,1,1,1,Sub6005_002_comenzas.wav,7.911,7.911,fmri_naming_task-20251125-163239-TDNEY.log,3911
3,1,3,3,trial-003-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,28.7138,4.0,1,1,1,2,Sub6005_003_recibis.wav,9.7576,9.7576,fmri_naming_task-20251125-163239-TDNEY.log,5758
4,1,4,4,trial-004-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,38.997,4.0,1,1,1,1,Sub6005_004_avanzar.wav,8.9289,8.9289,fmri_naming_task-20251125-163239-TDNEY.log,4929
5,1,5,5,trial-005-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,48.4468,4.0,1,1,1,2,Sub6005_005_gustar.wav,9.7903,9.7903,fmri_naming_task-20251125-163239-TDNEY.log,5790
6,1,6,6,trial-006-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,58.7635,4.0,1,1,1,3,Sub6005_006_lavar.wav,7.7388,7.7388,fmri_naming_task-20251125-163239-TDNEY.log,3739
7,1,7,7,trial-007-sentis,12,sentis,sontiondo,is,-is,rule_is,4,67.0301,4.0,1,1,1,3,Sub6005_007_sentis.wav,11.6396,11.6396,fmri_naming_task-20251125-163239-TDNEY.log,7640
8,1,8,8,trial-008-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,79.1966,4.0,1,1,1,1,Sub6005_008_impedir.wav,9.5653,9.5653,fmri_naming_task-20251125-163239-TDNEY.log,5565
9,1,9,9,trial-009-partir,10,partir,partiondo,ir,-ir,rule_ir,2,89.2965,4.0,1,1,1,2,Sub6005_009_partir.wav,8.0465,8.0465,fmri_naming_task-20251125-163239-TDNEY.log,4047
10,1,10,10,trial-010-montas,9,montas,mantiando,as,-as,rule_as,3,97.8965,4.0,1,1,1,2,Sub6005_010_montas.wav,9.924,9.924,fmri_naming_task-20251125-163239-TDNEY.log,5924
11,1,11,11,trial-011-dominas,5,dominas,damitiando,as,-as,rule_as,3,108.3464,4.0,1,1,1,3,Sub6005_011_dominas.wav,8.6107,8.6107,fmri_naming_task-20251125-163239-TDNEY.log,4611
12,1,12,12,trial-012-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,117.4796,4.0,1,1,1,3,Sub6005_012_deprimir.wav,10.321,10.321,fmri_naming_task-20251125-163239-TDNEY.log,6321
