trial,session,session_trial,trial_index,trial_type,picture_type,picture_label,sprang_form,suffix,suffix_label,rule_type,rule_id,stim_onset_s,stim_duration_s,repetition,total_repetition,item_repetition,rule_repetition,audio_file,recording_duration_s,duration_for_fmri_s,log_file,jitter_ms
1,1,1,1,trial-001-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,10.5413,4.0,1,1,1,1,Sub6007_001_avanzar.wav,10.7885,10.7885,fmri_naming_task-20251204-090553-RDKDN.log,6788
2,1,2,2,trial-002-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,21.8579,4.0,1,1,1,1,Sub6007_002_deprimir.wav,8.1087,8.1087,fmri_naming_task-20251204-090553-RDKDN.log,4109
3,1,3,3,trial-003-partir,10,partir,partiondo,ir,-ir,rule_ir,2,30.4911,4.0,1,1,1,2,Sub6007_003_partir.wav,8.7094,8.7094,fmri_naming_task-20251204-090553-RDKDN.log,4709
4,1,4,4,trial-004-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,39.7244,4.0,1,1,1,2,Sub6007_004_gustar.wav,7.7326,7.7326,fmri_naming_task-20251204-090553-RDKDN.log,3733
5,1,5,5,trial-005-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,48.0076,4.0,1,1,1,3,Sub6007_005_lavar.wav,9.862,9.862,fmri_naming_task-20251204-090553-RDKDN.log,5862
6,1,6,6,trial-006-sentis,12,sentis,sontiondo,is,-is,rule_is,4,58.3909,4.0,1,1,1,1,Sub6007_006_sentis.wav,9.8568,9.8568,fmri_naming_task-20251204-090553-RDKDN.log,5857
7,1,7,7,trial-007-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,68.7741,4.0,1,1,1,2,Sub6007_007_recibis.wav,10.3641,10.3641,fmri_naming_task-20251204-090553-RDKDN.log,6364
8,1,8,8,trial-008-definis,3,definis,dofiniondo,is,-is,rule_is,4,79.6907,4.0,1,1,1,3,Sub6007_008_definis.wav,8.3961,8.3961,fmri_naming_task-20251204-090553-RDKDN.log,4396
9,1,9,9,trial-009-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,88.6239,4.0,1,1,1,1,Sub6007_009_comenzas.wav,9.2058,9.2058,fmri_naming_task-20251204-090553-RDKDN.log,5206
10,1,10,10,trial-010-dominas,5,dominas,damitiando,as,-as,rule_as,3,98.3571,4.0,1,1,1,2,Sub6007_010_dominas.wav,7.9686,7.9686,fmri_naming_task-20251204-090553-RDKDN.log,3969
11,1,11,11,trial-011-montas,9,montas,mantiando,as,-as,rule_as,3,106.8571,4.0,1,1,1,3,Sub6007_011_montas.wav,10.4039,10.4039,fmri_naming_task-20251204-090553-RDKDN.log,6404
12,1,12,12,trial-012-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,117.7903,4.0,1,1,1,3,Sub6007_012_impedir.wav,10.6783,10.6783,fmri_naming_task-20251204-090553-RDKDN.log,6678
13,1,13,13,trial-013-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,128.9902,4.0,2,2,2,4,Sub6007_013_recibis.wav,7.3457,7.3457,fmri_naming_task-20251204-090553-RDKDN.log,3346
14,1,14,14,trial-014-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,136.8734,4.0,2,2,2,4,Sub6007_014_deprimir.wav,10.3336,10.3336,fmri_naming_task-20251204-090553-RDKDN.log,6334
15,1,15,15,trial-015-partir,10,partir,partiondo,ir,-ir,rule_ir,2,147.74,4.0,2,2,2,5,Sub6007_015_partir.wav,8.1832,8.1832,fmri_naming_task-20251204-090553-RDKDN.log,4183
16,1,16,16,trial-016-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,156.4566,4.0,2,2,2,4,Sub6007_016_avanzar.wav,8.5327,8.5327,fmri_naming_task-20251204-090553-RDKDN.log,4533
17,1,17,17,trial-017-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,165.5232,4.0,2,2,2,5,Sub6007_017_gustar.wav,8.1979,8.1979,fmri_naming_task-20251204-090553-RDKDN.log,4198
18,1,18,18,trial-018-sentis,12,sentis,sontiondo,is,-is,rule_is,4,174.2564,4.0,2,2,2,5,Sub6007_018_sentis.wav,8.9878,8.9878,fmri_naming_task-20251204-090553-RDKDN.log,4988
19,1,19,19,trial-019-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,183.773,4.0,2,2,2,4,Sub6007_019_comenzas.wav,7.7766,7.7766,fmri_naming_task-20251204-090553-RDKDN.log,3777
20,1,20,20,trial-020-dominas,5,dominas,damitiando,as,-as,rule_as,3,192.0729,4.0,2,2,2,5,Sub6007_020_dominas.wav,8.6845,8.6845,fmri_naming_task-20251204-090553-RDKDN.log,4685
21,1,21,21,trial-021-montas,9,montas,mantiando,as,-as,rule_as,3,201.2895,4.0,2,2,2,6,Sub6007_021_montas.wav,10.6637,10.6637,fmri_naming_task-20251204-090553-RDKDN.log,6664
