trial,session,session_trial,trial_index,trial_type,picture_type,picture_label,sprang_form,suffix,suffix_label,rule_type,rule_id,stim_onset_s,stim_duration_s,repetition,total_repetition,item_repetition,rule_repetition,audio_file,recording_duration_s,duration_for_fmri_s,log_file,jitter_ms
1,1,1,1,trial-001-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,10.5501,4.0,1,1,1,1,Sub6010_001_recibis.wav,9.2058,9.2058,fmri_naming_task-20251204-140316-RPNRP.log,5206
2,1,2,2,trial-002-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,20.2833,4.0,1,1,1,1,Sub6010_002_comenzas.wav,9.5064,9.5064,fmri_naming_task-20251204-140316-RPNRP.log,5506
3,1,3,3,trial-003-sentis,12,sentis,sontiondo,is,-is,rule_is,4,30.3165,4.0,1,1,1,2,Sub6010_003_sentis.wav,7.9676,7.9676,fmri_naming_task-20251204-140316-RPNRP.log,3968
4,1,4,4,trial-004-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,38.8164,4.0,1,1,1,1,Sub6010_004_gustar.wav,10.2545,10.2545,fmri_naming_task-20251204-140316-RPNRP.log,6254
5,1,5,5,trial-005-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,49.5997,4.0,1,1,1,2,Sub6010_005_avanzar.wav,7.3741,7.3741,fmri_naming_task-20251204-140316-RPNRP.log,3374
6,1,6,6,trial-006-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,57.4996,4.0,1,1,1,3,Sub6010_006_lavar.wav,8.3959,8.3959,fmri_naming_task-20251204-140316-RPNRP.log,4396
7,1,7,7,trial-007-partir,10,partir,partiondo,ir,-ir,rule_ir,2,66.4162,4.0,1,1,1,1,Sub6010_007_partir.wav,8.01,8.01,fmri_naming_task-20251204-140316-RPNRP.log,4010
8,1,8,8,trial-008-definis,3,definis,dofiniondo,is,-is,rule_is,4,74.9494,4.0,1,1,1,3,Sub6010_008_definis.wav,10.0443,10.0443,fmri_naming_task-20251204-140316-RPNRP.log,6044
9,1,9,9,trial-009-montas,9,montas,mantiando,as,-as,rule_as,3,85.516,4.0,1,1,1,2,Sub6010_009_montas.wav,8.1144,8.1144,fmri_naming_task-20251204-140316-RPNRP.log,4114
10,1,10,10,trial-010-dominas,5,dominas,damitiando,as,-as,rule_as,3,94.1659,4.0,1,1,1,3,Sub6010_010_dominas.wav,8.2739,8.2739,fmri_naming_task-20251204-140316-RPNRP.log,4274
11,1,11,11,trial-011-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,102.9658,4.0,1,1,1,2,Sub6010_011_impedir.wav,8.6424,8.6424,fmri_naming_task-20251204-140316-RPNRP.log,4642
12,1,12,12,trial-012-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,112.1324,4.0,1,1,1,3,Sub6010_012_deprimir.wav,9.7178,9.7178,fmri_naming_task-20251204-140316-RPNRP.log,5718
13,1,13,13,trial-013-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,122.3823,4.0,2,2,2,4,Sub6010_013_lavar.wav,9.2831,9.2831,fmri_naming_task-20251204-140316-RPNRP.log,5283
14,1,14,14,trial-014-dominas,5,dominas,damitiando,as,-as,rule_as,3,132.1988,4.0,2,2,2,4,Sub6010_014_dominas.wav,8.5607,8.5607,fmri_naming_task-20251204-140316-RPNRP.log,4561
15,1,15,15,trial-015-partir,10,partir,partiondo,ir,-ir,rule_ir,2,141.2821,4.0,2,2,2,4,Sub6010_015_partir.wav,8.2621,8.2621,fmri_naming_task-20251204-140316-RPNRP.log,4262
16,1,16,16,trial-016-sentis,12,sentis,sontiondo,is,-is,rule_is,4,150.0654,4.0,2,2,2,4,Sub6010_016_sentis.wav,11.2298,11.2298,fmri_naming_task-20251204-140316-RPNRP.log,7230
17,1,17,17,trial-017-montas,9,montas,mantiando,as,-as,rule_as,3,161.8319,4.0,2,2,2,5,Sub6010_017_montas.wav,11.3001,11.3001,fmri_naming_task-20251204-140316-RPNRP.log,7300
18,1,18,18,trial-018-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,173.6651,4.0,2,2,2,5,Sub6010_018_deprimir.wav,9.5529,9.5529,fmri_naming_task-20251204-140316-RPNRP.log,5553
19,1,19,19,trial-019-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,183.7484,4.0,2,2,2,5,Sub6010_019_avanzar.wav,10.3947,10.3947,fmri_naming_task-20251204-140316-RPNRP.log,6395
20,1,20,20,trial-020-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,194.6649,4.0,2,2,2,5,Sub6010_020_recibis.wav,7.8039,7.8039,fmri_naming_task-20251204-140316-RPNRP.log,3804
