trial,session,picture_type,picture_label,sprang_form,repetition,total_repetition,audio_file,jitter_ms
74,2,9,montas,mantiando,2,7,Sub6003_074_montas.wav,4081
75,2,12,sentis,sontiondo,2,7,Sub6003_075_sentis.wav,4774
76,2,8,lavar,laviando,2,7,Sub6003_076_lavar.wav,3253
77,2,4,deprimir,deprimiondo,2,7,Sub6003_077_deprimir.wav,3061
78,2,5,dominas,damitiando,2,7,Sub6003_078_dominas.wav,4191
79,2,2,comenzas,camenziando,2,7,Sub6003_079_comenzas.wav,3389
80,2,7,impedir,impediondo,2,7,Sub6003_080_impedir.wav,6922
81,2,11,recibis,rocibiondo,2,7,Sub6003_081_recibis.wav,4718
82,2,1,avanzar,avanziando,2,7,Sub6003_082_avanzar.wav,4197
83,2,10,partir,partiondo,2,7,Sub6003_083_partir.wav,3901
84,2,6,gustar,gustiando,2,7,Sub6003_084_gustar.wav,3616
85,2,8,lavar,laviando,3,8,Sub6003_085_lavar.wav,5468
86,2,5,dominas,damitiando,3,8,Sub6003_086_dominas.wav,4190
87,2,2,comenzas,camenziando,3,8,Sub6003_087_comenzas.wav,5976
88,2,3,definis,dofiniondo,3,8,Sub6003_088_definis.wav,7471
89,2,9,montas,mantiando,3,8,Sub6003_089_montas.wav,5095
90,2,10,partir,partiondo,3,8,Sub6003_090_partir.wav,4602
91,2,7,impedir,impediondo,3,8,Sub6003_091_impedir.wav,5529
92,2,12,sentis,sontiondo,3,8,Sub6003_092_sentis.wav,5677
93,2,4,deprimir,deprimiondo,3,8,Sub6003_093_deprimir.wav,4510
94,2,6,gustar,gustiando,3,8,Sub6003_094_gustar.wav,5226
95,2,11,recibis,rocibiondo,3,8,Sub6003_095_recibis.wav,3481
96,2,1,avanzar,avanziando,3,8,Sub6003_096_avanzar.wav,3951
97,2,10,partir,partiondo,4,9,Sub6003_097_partir.wav,4652
98,2,8,lavar,laviando,4,9,Sub6003_098_lavar.wav,5737
99,2,5,dominas,damitiando,4,9,Sub6003_099_dominas.wav,4456
100,2,7,impedir,impediondo,4,9,Sub6003_100_impedir.wav,4438
101,2,6,gustar,gustiando,4,9,Sub6003_101_gustar.wav,5161
102,2,4,deprimir,deprimiondo,4,9,Sub6003_102_deprimir.wav,5887
103,2,11,recibis,rocibiondo,4,9,Sub6003_103_recibis.wav,3819
104,2,9,montas,mantiando,4,9,Sub6003_104_montas.wav,5967
105,2,3,definis,dofiniondo,4,9,Sub6003_105_definis.wav,4070
106,2,1,avanzar,avanziando,4,9,Sub6003_106_avanzar.wav,5296
107,2,12,sentis,sontiondo,4,9,Sub6003_107_sentis.wav,6075
108,2,2,comenzas,camenziando,4,9,Sub6003_108_comenzas.wav,5812
109,2,6,gustar,gustiando,5,10,Sub6003_109_gustar.wav,4164
110,2,12,sentis,sontiondo,5,10,Sub6003_110_sentis.wav,5309
111,2,3,definis,dofiniondo,5,10,Sub6003_111_definis.wav,4566
112,2,9,montas,mantiando,5,10,Sub6003_112_montas.wav,5374
113,2,11,recibis,rocibiondo,5,10,Sub6003_113_recibis.wav,6868
114,2,5,dominas,damitiando,5,10,Sub6003_114_dominas.wav,3049
115,2,1,avanzar,avanziando,5,10,Sub6003_115_avanzar.wav,4194
116,2,2,comenzas,camenziando,5,10,Sub6003_116_comenzas.wav,4939
117,2,10,partir,partiondo,5,10,Sub6003_117_partir.wav,3852
118,2,8,lavar,laviando,5,10,Sub6003_118_lavar.wav,3945
119,2,4,deprimir,deprimiondo,5,10,Sub6003_119_deprimir.wav,5559
120,2,7,impedir,impediondo,5,10,Sub6003_120_impedir.wav,5851
121,3,6,gustar,gustiando,1,11,Sub6003_121_gustar.wav,5057
122,3,11,recibis,rocibiondo,1,11,Sub6003_122_recibis.wav,3354
123,3,12,sentis,sontiondo,1,11,Sub6003_123_sentis.wav,5213
124,3,4,deprimir,deprimiondo,1,11,Sub6003_124_deprimir.wav,3574
125,3,7,impedir,impediondo,1,11,Sub6003_125_impedir.wav,3458
126,3,2,comenzas,camenziando,1,11,Sub6003_126_comenzas.wav,4329
127,3,5,dominas,damitiando,1,11,Sub6003_127_dominas.wav,4586
128,3,1,avanzar,avanziando,1,11,Sub6003_128_avanzar.wav,5115
129,3,9,montas,mantiando,1,11,Sub6003_129_montas.wav,3146
130,3,10,partir,partiondo,1,11,Sub6003_130_partir.wav,3709
131,3,3,definis,dofiniondo,1,11,Sub6003_131_definis.wav,4118
132,3,8,lavar,laviando,1,11,Sub6003_132_lavar.wav,4844
133,3,9,montas,mantiando,2,12,Sub6003_133_montas.wav,5575
134,3,5,dominas,damitiando,2,12,Sub6003_134_dominas.wav,6005
135,3,11,recibis,rocibiondo,2,12,Sub6003_135_recibis.wav,3555
136,3,8,lavar,laviando,2,12,Sub6003_136_lavar.wav,3593
137,3,6,gustar,gustiando,2,12,Sub6003_137_gustar.wav,4244
138,3,12,sentis,sontiondo,2,12,Sub6003_138_sentis.wav,6205
139,3,2,comenzas,camenziando,2,12,Sub6003_139_comenzas.wav,7512
140,3,4,deprimir,deprimiondo,2,12,Sub6003_140_deprimir.wav,5511
141,3,7,impedir,impediondo,2,12,Sub6003_141_impedir.wav,7241
142,3,10,partir,partiondo,2,12,Sub6003_142_partir.wav,3788
143,3,3,definis,dofiniondo,2,12,Sub6003_143_definis.wav,4781
144,3,1,avanzar,avanziando,2,12,Sub6003_144_avanzar.wav,4946
145,3,5,dominas,damitiando,3,13,Sub6003_145_dominas.wav,5701
146,3,1,avanzar,avanziando,3,13,Sub6003_146_avanzar.wav,6236
147,3,8,lavar,laviando,3,13,Sub6003_147_lavar.wav,5289
148,3,10,partir,partiondo,3,13,Sub6003_148_partir.wav,5234
149,3,12,sentis,sontiondo,3,13,Sub6003_149_sentis.wav,4731
150,3,3,definis,dofiniondo,3,13,Sub6003_150_definis.wav,7669
151,3,11,recibis,rocibiondo,3,13,Sub6003_151_recibis.wav,6309
152,3,4,deprimir,deprimiondo,3,13,Sub6003_152_deprimir.wav,4351
153,3,7,impedir,impediondo,3,13,Sub6003_153_impedir.wav,3929
154,3,2,comenzas,camenziando,3,13,Sub6003_154_comenzas.wav,6235
155,3,9,montas,mantiando,3,13,Sub6003_155_montas.wav,6148
156,3,6,gustar,gustiando,3,13,Sub6003_156_gustar.wav,4554
157,3,7,impedir,impediondo,4,14,Sub6003_157_impedir.wav,3459
158,3,12,sentis,sontiondo,4,14,Sub6003_158_sentis.wav,6307
159,3,4,deprimir,deprimiondo,4,14,Sub6003_159_deprimir.wav,6369
160,3,11,recibis,rocibiondo,4,14,Sub6003_160_recibis.wav,5982
161,3,2,comenzas,camenziando,4,14,Sub6003_161_comenzas.wav,5454
162,3,5,dominas,damitiando,4,14,Sub6003_162_dominas.wav,3727
163,3,8,lavar,laviando,4,14,Sub6003_163_lavar.wav,4671
164,3,1,avanzar,avanziando,4,14,Sub6003_164_avanzar.wav,5614
165,3,6,gustar,gustiando,4,14,Sub6003_165_gustar.wav,5437
166,3,3,definis,dofiniondo,4,14,Sub6003_166_definis.wav,6155
167,3,10,partir,partiondo,4,14,Sub6003_167_partir.wav,4715
168,3,9,montas,mantiando,4,14,Sub6003_168_montas.wav,5297
169,3,6,gustar,gustiando,5,15,Sub6003_169_gustar.wav,5902
170,3,10,partir,partiondo,5,15,Sub6003_170_partir.wav,4368
171,3,8,lavar,laviando,5,15,Sub6003_171_lavar.wav,3753
172,3,12,sentis,sontiondo,5,15,Sub6003_172_sentis.wav,3978
173,3,11,recibis,rocibiondo,5,15,Sub6003_173_recibis.wav,4864
174,3,1,avanzar,avanziando,5,15,Sub6003_174_avanzar.wav,5055
175,3,2,comenzas,camenziando,5,15,Sub6003_175_comenzas.wav,6397
176,3,4,deprimir,deprimiondo,5,15,Sub6003_176_deprimir.wav,3368
177,3,5,dominas,damitiando,5,15,Sub6003_177_dominas.wav,6796
178,3,9,montas,mantiando,5,15,Sub6003_178_montas.wav,3515
179,3,3,definis,dofiniondo,5,15,Sub6003_179_definis.wav,4051
180,3,7,impedir,impediondo,5,15,Sub6003_180_impedir.wav,6083
181,4,4,deprimir,deprimiondo,1,16,Sub6003_181_deprimir.wav,4132
182,4,11,recibis,rocibiondo,1,16,Sub6003_182_recibis.wav,6120
183,4,1,avanzar,avanziando,1,16,Sub6003_183_avanzar.wav,6614
184,4,3,definis,dofiniondo,1,16,Sub6003_184_definis.wav,3339
185,4,5,dominas,damitiando,1,16,Sub6003_185_dominas.wav,4382
186,4,10,partir,partiondo,1,16,Sub6003_186_partir.wav,3967
187,4,6,gustar,gustiando,1,16,Sub6003_187_gustar.wav,3533
188,4,7,impedir,impediondo,1,16,Sub6003_188_impedir.wav,5448
189,4,8,lavar,laviando,1,16,Sub6003_189_lavar.wav,5612
190,4,9,montas,mantiando,1,16,Sub6003_190_montas.wav,6646
191,4,2,comenzas,camenziando,1,16,Sub6003_191_comenzas.wav,4578
192,4,12,sentis,sontiondo,1,16,Sub6003_192_sentis.wav,5616
