trial,session,session_trial,trial_index,trial_type,picture_type,picture_label,sprang_form,suffix,suffix_label,rule_type,rule_id,stim_onset_s,stim_duration_s,repetition,total_repetition,item_repetition,rule_repetition,audio_file,recording_duration_s,duration_for_fmri_s,log_file,jitter_ms
1,1,1,1,trial-001-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,10.5484,4.0,1,1,1,1,Sub6023_001_comenzas.wav,8.1862,8.1862,fmri_naming_task-20251219-110815-BFOKH.log,4186
2,1,2,2,trial-002-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,19.265,4.0,1,1,1,1,Sub6023_002_gustar.wav,7.5991,7.5991,fmri_naming_task-20251219-110815-BFOKH.log,3599
3,1,3,3,trial-003-partir,10,partir,partiondo,ir,-ir,rule_ir,2,27.3982,4.0,1,1,1,1,Sub6023_003_partir.wav,10.1728,10.1728,fmri_naming_task-20251219-110815-BFOKH.log,6173
4,1,4,4,trial-004-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,38.0981,4.0,1,1,1,2,Sub6023_004_impedir.wav,9.3389,9.3389,fmri_naming_task-20251219-110815-BFOKH.log,5339
5,1,5,5,trial-005-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,47.9647,4.0,1,1,1,2,Sub6023_005_avanzar.wav,9.8014,9.8014,fmri_naming_task-20251219-110815-BFOKH.log,5801
6,1,6,6,trial-006-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,58.2979,4.0,1,1,1,1,Sub6023_006_recibis.wav,10.551,10.551,fmri_naming_task-20251219-110815-BFOKH.log,6551
7,1,7,7,trial-007-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,69.3812,4.0,1,1,1,3,Sub6023_007_deprimir.wav,8.152,8.152,fmri_naming_task-20251219-110815-BFOKH.log,4152
8,1,8,8,trial-008-montas,9,montas,mantiando,as,-as,rule_as,3,78.0644,4.0,1,1,1,2,Sub6023_008_montas.wav,11.4532,11.4532,fmri_naming_task-20251219-110815-BFOKH.log,7453
9,1,9,9,trial-009-definis,3,definis,dofiniondo,is,-is,rule_is,4,90.0476,4.0,1,1,1,2,Sub6023_009_definis.wav,10.3961,10.3961,fmri_naming_task-20251219-110815-BFOKH.log,6396
10,1,10,10,trial-010-sentis,12,sentis,sontiondo,is,-is,rule_is,4,100.9809,4.0,1,1,1,3,Sub6023_010_sentis.wav,10.7626,10.7626,fmri_naming_task-20251219-110815-BFOKH.log,6763
11,1,11,11,trial-011-dominas,5,dominas,daminiando,as,-as,rule_as,3,112.2807,4.0,1,1,1,3,Sub6023_011_dominas.wav,8.112,8.112,fmri_naming_task-20251219-110815-BFOKH.log,4112
12,1,12,12,trial-012-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,120.9307,4.0,1,1,1,3,Sub6023_012_lavar.wav,7.6389,7.6389,fmri_naming_task-20251219-110815-BFOKH.log,3639
13,1,13,13,trial-013-definis,3,definis,dofiniondo,is,-is,rule_is,4,129.0972,4.0,2,2,2,4,Sub6023_013_definis.wav,7.5016,7.5016,fmri_naming_task-20251219-110815-BFOKH.log,3502
14,1,14,14,trial-014-partir,10,partir,partiondo,ir,-ir,rule_ir,2,137.1305,4.0,2,2,2,4,Sub6023_014_partir.wav,9.1109,9.1109,fmri_naming_task-20251219-110815-BFOKH.log,5111
15,1,15,15,trial-015-dominas,5,dominas,daminiando,as,-as,rule_as,3,146.7637,4.0,2,2,2,4,Sub6023_015_dominas.wav,8.9041,8.9041,fmri_naming_task-20251219-110815-BFOKH.log,4904
16,1,16,16,trial-016-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,156.2137,4.0,2,2,2,5,Sub6023_016_impedir.wav,8.8034,8.8034,fmri_naming_task-20251219-110815-BFOKH.log,4803
17,1,17,17,trial-017-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,165.5469,4.0,2,2,2,4,Sub6023_017_lavar.wav,8.7677,8.7677,fmri_naming_task-20251219-110815-BFOKH.log,4768
18,1,18,18,trial-018-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,174.8635,4.0,2,2,2,5,Sub6023_018_avanzar.wav,8.5658,8.5658,fmri_naming_task-20251219-110815-BFOKH.log,4566
19,1,19,19,trial-019-sentis,12,sentis,sontiondo,is,-is,rule_is,4,183.98,4.0,2,2,2,5,Sub6023_019_sentis.wav,10.5738,10.5738,fmri_naming_task-20251219-110815-BFOKH.log,6574
20,1,20,20,trial-020-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,195.0799,4.0,2,2,2,6,Sub6023_020_gustar.wav,9.4299,9.4299,fmri_naming_task-20251219-110815-BFOKH.log,5430
21,1,21,21,trial-021-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,205.0465,4.0,2,2,2,5,Sub6023_021_comenzas.wav,8.3783,8.3783,fmri_naming_task-20251219-110815-BFOKH.log,4378
22,1,22,22,trial-022-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,213.9464,4.0,2,2,2,6,Sub6023_022_recibis.wav,10.9296,10.9296,fmri_naming_task-20251219-110815-BFOKH.log,6930
23,1,23,23,trial-023-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,225.413,4.0,2,2,2,6,Sub6023_023_deprimir.wav,10.251,10.251,fmri_naming_task-20251219-110815-BFOKH.log,6251
24,1,24,24,trial-024-montas,9,montas,mantiando,as,-as,rule_as,3,236.1962,4.0,2,2,2,6,Sub6023_024_montas.wav,7.1443,7.1443,fmri_naming_task-20251219-110815-BFOKH.log,3144
25,1,25,25,trial-025-sentis,12,sentis,sontiondo,is,-is,rule_is,4,243.8795,4.0,3,3,3,7,Sub6023_025_sentis.wav,7.6404,7.6404,fmri_naming_task-20251219-110815-BFOKH.log,3640
26,1,26,26,trial-026-partir,10,partir,partiondo,ir,-ir,rule_ir,2,252.0461,4.0,3,3,3,7,Sub6023_026_partir.wav,8.4485,8.4485,fmri_naming_task-20251219-110815-BFOKH.log,4449
27,1,27,27,trial-027-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,261.0293,4.0,3,3,3,7,Sub6023_027_lavar.wav,7.7291,7.7291,fmri_naming_task-20251219-110815-BFOKH.log,3729
28,1,28,28,trial-028-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,269.2959,4.0,3,3,3,8,Sub6023_028_recibis.wav,8.1514,8.1514,fmri_naming_task-20251219-110815-BFOKH.log,4151
29,1,29,29,trial-029-dominas,5,dominas,daminiando,as,-as,rule_as,3,277.9791,4.0,3,3,3,7,Sub6023_029_dominas.wav,9.923,9.923,fmri_naming_task-20251219-110815-BFOKH.log,5923
30,1,30,30,trial-030-definis,3,definis,dofiniondo,is,-is,rule_is,4,288.429,4.0,3,3,3,9,Sub6023_030_definis.wav,9.2029,9.2029,fmri_naming_task-20251219-110815-BFOKH.log,5203
