trial,session,session_trial,trial_index,trial_type,picture_type,picture_label,sprang_form,suffix,suffix_label,rule_type,rule_id,stim_onset_s,stim_duration_s,repetition,total_repetition,item_repetition,rule_repetition,audio_file,recording_duration_s,duration_for_fmri_s,log_file,jitter_ms
1,1,1,1,trial-001-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,10.5453,4.0,1,1,1,1,Sub6014_001_comenzas.wav,7.2584,7.2584,fmri_naming_task-20251218-090700-SOTSW.log,3258
2,1,2,2,trial-002-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,18.3286,4.0,1,1,1,1,Sub6014_002_gustar.wav,11.5007,11.5007,fmri_naming_task-20251218-090700-SOTSW.log,7501
3,1,3,3,trial-003-partir,10,partir,partiondo,ir,-ir,rule_ir,2,30.3785,4.0,1,1,1,1,Sub6014_003_partir.wav,9.0826,9.0826,fmri_naming_task-20251218-090700-SOTSW.log,5083
4,1,4,4,trial-004-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,39.995,4.0,1,1,1,1,Sub6014_004_recibis.wav,9.2085,9.2085,fmri_naming_task-20251218-090700-SOTSW.log,5209
5,1,5,5,trial-005-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,49.7283,4.0,1,1,1,2,Sub6014_005_impedir.wav,9.8914,9.8914,fmri_naming_task-20251218-090700-SOTSW.log,5891
6,1,6,6,trial-006-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,60.1449,4.0,1,1,1,2,Sub6014_006_avanzar.wav,7.9231,7.9231,fmri_naming_task-20251218-090700-SOTSW.log,3923
7,1,7,7,trial-007-definis,3,definis,dofiniondo,is,-is,rule_is,4,68.5948,4.0,1,1,1,2,Sub6014_007_definis.wav,10.9988,10.9988,fmri_naming_task-20251218-090700-SOTSW.log,6999
8,1,8,8,trial-008-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,80.128,4.0,1,1,1,3,Sub6014_008_deprimir.wav,8.1564,8.1564,fmri_naming_task-20251218-090700-SOTSW.log,4156
9,1,9,9,trial-009-montas,9,montas,mantiando,as,-as,rule_as,3,88.8113,4.0,1,1,1,2,Sub6014_009_montas.wav,9.5627,9.5627,fmri_naming_task-20251218-090700-SOTSW.log,5563
10,1,10,10,trial-010-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,98.9278,4.0,1,1,1,3,Sub6014_010_lavar.wav,7.6999,7.6999,fmri_naming_task-20251218-090700-SOTSW.log,3700
11,1,11,11,trial-011-sentis,12,sentis,sontiondo,is,-is,rule_is,4,107.1611,4.0,1,1,1,3,Sub6014_011_sentis.wav,7.7622,7.7622,fmri_naming_task-20251218-090700-SOTSW.log,3762
12,1,12,12,trial-012-dominas,5,dominas,daminiando,as,-as,rule_as,3,115.4443,4.0,1,1,1,3,Sub6014_012_dominas.wav,8.9144,8.9144,fmri_naming_task-20251218-090700-SOTSW.log,4914
13,1,13,13,trial-013-sentis,12,sentis,sontiondo,is,-is,rule_is,4,124.8943,4.0,2,2,2,4,Sub6014_013_sentis.wav,8.1183,8.1183,fmri_naming_task-20251218-090700-SOTSW.log,4118
14,1,14,14,trial-014-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,133.5442,4.0,2,2,2,4,Sub6014_014_impedir.wav,7.7587,7.7587,fmri_naming_task-20251218-090700-SOTSW.log,3759
15,1,15,15,trial-015-partir,10,partir,partiondo,ir,-ir,rule_ir,2,141.8274,4.0,2,2,2,5,Sub6014_015_partir.wav,8.591,8.591,fmri_naming_task-20251218-090700-SOTSW.log,4591
16,1,16,16,trial-016-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,150.944,4.0,2,2,2,5,Sub6014_016_recibis.wav,10.5663,10.5663,fmri_naming_task-20251218-090700-SOTSW.log,6566
17,1,17,17,trial-017-dominas,5,dominas,daminiando,as,-as,rule_as,3,162.0439,4.0,2,2,2,4,Sub6014_017_dominas.wav,9.2872,9.2872,fmri_naming_task-20251218-090700-SOTSW.log,5287
18,1,18,18,trial-018-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,171.8605,4.0,2,2,2,5,Sub6014_018_comenzas.wav,8.0611,8.0611,fmri_naming_task-20251218-090700-SOTSW.log,4061
19,1,19,19,trial-019-definis,3,definis,dofiniondo,is,-is,rule_is,4,180.4437,4.0,2,2,2,6,Sub6014_019_definis.wav,7.6909,7.6909,fmri_naming_task-20251218-090700-SOTSW.log,3691
20,1,20,20,trial-020-montas,9,montas,mantiando,as,-as,rule_as,3,188.6603,4.0,2,2,2,6,Sub6014_020_montas.wav,8.8747,8.8747,fmri_naming_task-20251218-090700-SOTSW.log,4875
21,1,21,21,trial-021-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,198.0602,4.0,2,2,2,4,Sub6014_021_lavar.wav,8.508,8.508,fmri_naming_task-20251218-090700-SOTSW.log,4508
22,1,22,22,trial-022-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,207.0935,4.0,2,2,2,5,Sub6014_022_gustar.wav,8.2751,8.2751,fmri_naming_task-20251218-090700-SOTSW.log,4275
