trial,session,session_trial,trial_index,trial_type,picture_type,picture_label,sprang_form,suffix,suffix_label,rule_type,rule_id,stim_onset_s,stim_duration_s,repetition,total_repetition,item_repetition,rule_repetition,audio_file,recording_duration_s,duration_for_fmri_s,log_file,jitter_ms
1,1,1,1,trial-001-definis,3,definis,dofiniondo,is,-is,rule_is,4,10.5436,4.0,1,1,1,1,Sub6019_001_definis.wav,9.1975,9.1975,fmri_naming_task-20251218-161548-LNOIG.log,5198
2,1,2,2,trial-002-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,20.2769,4.0,1,1,1,1,Sub6019_002_gustar.wav,8.9868,8.9868,fmri_naming_task-20251218-161548-LNOIG.log,4987
3,1,3,3,trial-003-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,29.7935,4.0,1,1,1,1,Sub6019_003_impedir.wav,9.7317,9.7317,fmri_naming_task-20251218-161548-LNOIG.log,5732
4,1,4,4,trial-004-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,40.06,4.0,1,1,1,1,Sub6019_004_comenzas.wav,10.4559,10.4559,fmri_naming_task-20251218-161548-LNOIG.log,6456
5,1,5,5,trial-005-montas,9,montas,mantiando,as,-as,rule_as,3,51.0432,4.0,1,1,1,2,Sub6019_005_montas.wav,10.4492,10.4492,fmri_naming_task-20251218-161548-LNOIG.log,6449
6,1,6,6,trial-006-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,62.0265,4.0,1,1,1,2,Sub6019_006_avanzar.wav,9.0892,9.0892,fmri_naming_task-20251218-161548-LNOIG.log,5089
7,1,7,7,trial-007-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,71.643,4.0,1,1,1,2,Sub6019_007_deprimir.wav,7.9811,7.9811,fmri_naming_task-20251218-161548-LNOIG.log,3981
8,1,8,8,trial-008-sentis,12,sentis,sontiondo,is,-is,rule_is,4,80.1596,4.0,1,1,1,2,Sub6019_008_sentis.wav,7.5628,7.5628,fmri_naming_task-20251218-161548-LNOIG.log,3563
9,1,9,9,trial-009-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,88.2595,4.0,1,1,1,3,Sub6019_009_lavar.wav,7.5365,7.5365,fmri_naming_task-20251218-161548-LNOIG.log,3536
10,1,10,10,trial-010-dominas,5,dominas,damitiando,as,-as,rule_as,3,96.3261,4.0,1,1,1,3,Sub6019_010_dominas.wav,9.4888,9.4888,fmri_naming_task-20251218-161548-LNOIG.log,5489
11,1,11,11,trial-011-partir,10,partir,partiondo,ir,-ir,rule_ir,2,106.3427,4.0,1,1,1,3,Sub6019_011_partir.wav,7.712,7.712,fmri_naming_task-20251218-161548-LNOIG.log,3712
12,1,12,12,trial-012-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,114.5926,4.0,1,1,1,3,Sub6019_012_recibis.wav,8.2849,8.2849,fmri_naming_task-20251218-161548-LNOIG.log,4285
13,1,13,13,trial-013-montas,9,montas,mantiando,as,-as,rule_as,3,123.4092,4.0,2,2,2,4,Sub6019_013_montas.wav,9.8828,9.8828,fmri_naming_task-20251218-161548-LNOIG.log,5883
14,1,14,14,trial-014-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,133.8258,4.0,2,2,2,5,Sub6019_014_comenzas.wav,10.6104,10.6104,fmri_naming_task-20251218-161548-LNOIG.log,6610
15,1,15,15,trial-015-partir,10,partir,partiondo,ir,-ir,rule_ir,2,144.959,4.0,2,2,2,4,Sub6019_015_partir.wav,8.6312,8.6312,fmri_naming_task-20251218-161548-LNOIG.log,4631
16,1,16,16,trial-016-sentis,12,sentis,sontiondo,is,-is,rule_is,4,154.1256,4.0,2,2,2,4,Sub6019_016_sentis.wav,7.9696,7.9696,fmri_naming_task-20251218-161548-LNOIG.log,3970
17,1,17,17,trial-017-dominas,5,dominas,damitiando,as,-as,rule_as,3,162.6255,4.0,2,2,2,6,Sub6019_017_dominas.wav,8.0918,8.0918,fmri_naming_task-20251218-161548-LNOIG.log,4092
18,1,18,18,trial-018-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,171.2421,4.0,2,2,2,4,Sub6019_018_gustar.wav,8.1247,8.1247,fmri_naming_task-20251218-161548-LNOIG.log,4125
19,1,19,19,trial-019-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,179.892,4.0,2,2,2,5,Sub6019_019_impedir.wav,8.436,8.436,fmri_naming_task-20251218-161548-LNOIG.log,4436
20,1,20,20,trial-020-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,188.8586,4.0,2,2,2,5,Sub6019_020_avanzar.wav,7.9711,7.9711,fmri_naming_task-20251218-161548-LNOIG.log,3971
21,1,21,21,trial-021-definis,3,definis,dofiniondo,is,-is,rule_is,4,197.3585,4.0,2,2,2,5,Sub6019_021_definis.wav,7.7353,7.7353,fmri_naming_task-20251218-161548-LNOIG.log,3735
22,1,22,22,trial-022-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,205.6251,4.0,2,2,2,6,Sub6019_022_deprimir.wav,11.564,11.564,fmri_naming_task-20251218-161548-LNOIG.log,7564
23,1,23,23,trial-023-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,217.725,4.0,2,2,2,6,Sub6019_023_lavar.wav,8.7243,8.7243,fmri_naming_task-20251218-161548-LNOIG.log,4724
24,1,24,24,trial-024-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,226.9748,4.0,2,2,2,6,Sub6019_024_recibis.wav,10.9116,10.9116,fmri_naming_task-20251218-161548-LNOIG.log,6912
25,1,25,25,trial-025-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,238.4081,4.0,3,3,3,7,Sub6019_025_impedir.wav,7.3797,7.3797,fmri_naming_task-20251218-161548-LNOIG.log,3380
26,1,26,26,trial-026-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,246.3247,4.0,3,3,3,7,Sub6019_026_comenzas.wav,9.1699,9.1699,fmri_naming_task-20251218-161548-LNOIG.log,5170
27,1,27,27,trial-027-montas,9,montas,mantiando,as,-as,rule_as,3,256.0246,4.0,3,3,3,8,Sub6019_027_montas.wav,7.8594,7.8594,fmri_naming_task-20251218-161548-LNOIG.log,3859
28,1,28,28,trial-028-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,264.4078,4.0,3,3,3,7,Sub6019_028_recibis.wav,7.9565,7.9565,fmri_naming_task-20251218-161548-LNOIG.log,3956
29,1,29,29,trial-029-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,272.8911,4.0,3,3,3,7,Sub6019_029_lavar.wav,8.6452,8.6452,fmri_naming_task-20251218-161548-LNOIG.log,4645
30,1,30,30,trial-030-dominas,5,dominas,damitiando,as,-as,rule_as,3,282.0577,4.0,3,3,3,9,Sub6019_030_dominas.wav,7.5388,7.5388,fmri_naming_task-20251218-161548-LNOIG.log,3539
31,1,31,31,trial-031-partir,10,partir,partiondo,ir,-ir,rule_ir,2,290.1242,4.0,3,3,3,8,Sub6019_031_partir.wav,7.6457,7.6457,fmri_naming_task-20251218-161548-LNOIG.log,3646
32,1,32,32,trial-032-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,298.2908,4.0,3,3,3,8,Sub6019_032_avanzar.wav,8.8865,8.8865,fmri_naming_task-20251218-161548-LNOIG.log,4886
33,1,33,33,trial-033-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,307.7074,4.0,3,3,3,9,Sub6019_033_gustar.wav,9.4575,9.4575,fmri_naming_task-20251218-161548-LNOIG.log,5458
34,1,34,34,trial-034-sentis,12,sentis,sontiondo,is,-is,rule_is,4,317.6906,4.0,3,3,3,8,Sub6019_034_sentis.wav,8.5757,8.5757,fmri_naming_task-20251218-161548-LNOIG.log,4576
35,1,35,35,trial-035-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,326.7906,4.0,3,3,3,9,Sub6019_035_deprimir.wav,7.5004,7.5004,fmri_naming_task-20251218-161548-LNOIG.log,3500
36,1,36,36,trial-036-definis,3,definis,dofiniondo,is,-is,rule_is,4,334.8238,4.0,3,3,3,9,Sub6019_036_definis.wav,8.0384,8.0384,fmri_naming_task-20251218-161548-LNOIG.log,4038
