trial,session,session_trial,trial_index,trial_type,picture_type,picture_label,sprang_form,suffix,suffix_label,rule_type,rule_id,stim_onset_s,stim_duration_s,repetition,total_repetition,item_repetition,rule_repetition,audio_file,recording_duration_s,duration_for_fmri_s,log_file,jitter_ms
1,1,1,1,trial-001-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,10.544,4.0,1,1,1,1,Sub6001_001_gustar.wav,7.5999,7.5999,fmri_naming_task-20251125-085948-LQVJJ.log,3600
2,1,2,2,trial-002-sentis,12,sentis,sontiondo,is,-is,rule_is,4,18.6773,4.0,1,1,1,1,Sub6001_002_sentis.wav,8.2433,8.2433,fmri_naming_task-20251125-085948-LQVJJ.log,4243
3,1,3,3,trial-003-partir,10,partir,partiondo,ir,-ir,rule_ir,2,27.4439,4.0,1,1,1,1,Sub6001_003_partir.wav,11.191,11.191,fmri_naming_task-20251125-085948-LQVJJ.log,7191
4,1,4,4,trial-004-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,39.1604,4.0,1,1,1,1,Sub6001_004_comenzas.wav,8.4246,8.4246,fmri_naming_task-20251125-085948-LQVJJ.log,4425
5,1,5,5,trial-005-dominas,5,dominas,daminiando,as,-as,rule_as,3,48.1104,4.0,1,1,1,2,Sub6001_005_dominas.wav,9.061,9.061,fmri_naming_task-20251125-085948-LQVJJ.log,5061
6,1,6,6,trial-006-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,57.6936,4.0,1,1,1,2,Sub6001_006_avanzar.wav,8.1912,8.1912,fmri_naming_task-20251125-085948-LQVJJ.log,4191
7,1,7,7,trial-007-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,66.4102,4.0,1,1,1,3,Sub6001_007_lavar.wav,8.0082,8.0082,fmri_naming_task-20251125-085948-LQVJJ.log,4008
8,1,8,8,trial-008-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,74.9419,4.0,1,1,1,2,Sub6001_008_deprimir.wav,7.6081,7.6081,fmri_naming_task-20251125-085948-LQVJJ.log,3608
9,1,9,9,trial-009-montas,9,montas,mantiando,as,-as,rule_as,3,83.0767,4.0,1,1,1,3,Sub6001_009_montas.wav,8.133,8.133,fmri_naming_task-20251125-085948-LQVJJ.log,4133
10,1,10,10,trial-010-definis,3,definis,dofiniondo,is,-is,rule_is,4,91.7433,4.0,1,1,1,2,Sub6001_010_definis.wav,7.8722,7.8722,fmri_naming_task-20251125-085948-LQVJJ.log,3872
11,1,11,11,trial-011-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,100.1432,4.0,1,1,1,3,Sub6001_011_recibis.wav,9.7365,9.7365,fmri_naming_task-20251125-085948-LQVJJ.log,5736
12,1,12,12,trial-012-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,110.4098,4.0,1,1,1,3,Sub6001_012_impedir.wav,7.8989,7.8989,fmri_naming_task-20251125-085948-LQVJJ.log,3899
13,1,13,13,trial-013-partir,10,partir,partiondo,ir,-ir,rule_ir,2,118.8431,4.0,2,2,2,4,Sub6001_013_partir.wav,7.9885,7.9885,fmri_naming_task-20251125-085948-LQVJJ.log,3989
14,1,14,14,trial-014-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,127.3596,4.0,2,2,2,4,Sub6001_014_avanzar.wav,10.8929,10.8929,fmri_naming_task-20251125-085948-LQVJJ.log,6893
15,1,15,15,trial-015-sentis,12,sentis,sontiondo,is,-is,rule_is,4,138.7762,4.0,2,2,2,4,Sub6001_015_sentis.wav,9.1064,9.1064,fmri_naming_task-20251125-085948-LQVJJ.log,5106
16,1,16,16,trial-016-definis,3,definis,dofiniondo,is,-is,rule_is,4,148.4095,4.0,2,2,2,5,Sub6001_016_definis.wav,8.4535,8.4535,fmri_naming_task-20251125-085948-LQVJJ.log,4454
17,1,17,17,trial-017-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,157.3927,4.0,2,2,2,5,Sub6001_017_deprimir.wav,11.2257,11.2257,fmri_naming_task-20251125-085948-LQVJJ.log,7226
18,1,18,18,trial-018-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,169.1426,4.0,2,2,2,6,Sub6001_018_impedir.wav,7.5001,7.5001,fmri_naming_task-20251125-085948-LQVJJ.log,3500
19,1,19,19,trial-019-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,177.1759,4.0,2,2,2,4,Sub6001_019_comenzas.wav,10.2497,10.2497,fmri_naming_task-20251125-085948-LQVJJ.log,6250
20,1,20,20,trial-020-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,187.9591,4.0,2,2,2,5,Sub6001_020_gustar.wav,9.7238,9.7238,fmri_naming_task-20251125-085948-LQVJJ.log,5724
21,1,21,21,trial-021-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,198.209,4.0,2,2,2,6,Sub6001_021_lavar.wav,8.1009,8.1009,fmri_naming_task-20251125-085948-LQVJJ.log,4101
22,1,22,22,trial-022-montas,9,montas,mantiando,as,-as,rule_as,3,206.8423,4.0,2,2,2,5,Sub6001_022_montas.wav,8.2548,8.2548,fmri_naming_task-20251125-085948-LQVJJ.log,4255
23,1,23,23,trial-023-dominas,5,dominas,daminiando,as,-as,rule_as,3,215.6255,4.0,2,2,2,6,Sub6001_023_dominas.wav,8.8181,8.8181,fmri_naming_task-20251125-085948-LQVJJ.log,4818
24,1,24,24,trial-024-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,224.9754,4.0,2,2,2,6,Sub6001_024_recibis.wav,8.0109,8.0109,fmri_naming_task-20251125-085948-LQVJJ.log,4011
25,1,25,25,trial-025-sentis,12,sentis,sontiondo,is,-is,rule_is,4,233.5087,4.0,3,3,3,7,Sub6001_025_sentis.wav,9.243,9.243,fmri_naming_task-20251125-085948-LQVJJ.log,5243
26,1,26,26,trial-026-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,243.2753,4.0,3,3,3,7,Sub6001_026_impedir.wav,11.396,11.396,fmri_naming_task-20251125-085948-LQVJJ.log,7396
27,1,27,27,trial-027-dominas,5,dominas,daminiando,as,-as,rule_as,3,255.1918,4.0,3,3,3,7,Sub6001_027_dominas.wav,10.1506,10.1506,fmri_naming_task-20251125-085948-LQVJJ.log,6151
28,1,28,28,trial-028-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,265.875,4.0,3,3,3,7,Sub6001_028_avanzar.wav,10.5373,10.5373,fmri_naming_task-20251125-085948-LQVJJ.log,6537
29,1,29,29,trial-029-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,276.9416,4.0,3,3,3,8,Sub6001_029_deprimir.wav,7.8854,7.8854,fmri_naming_task-20251125-085948-LQVJJ.log,3885
30,1,30,30,trial-030-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,285.3582,4.0,3,3,3,8,Sub6001_030_lavar.wav,9.8061,9.8061,fmri_naming_task-20251125-085948-LQVJJ.log,5806
31,1,31,31,trial-031-partir,10,partir,partiondo,ir,-ir,rule_ir,2,295.6915,4.0,3,3,3,9,Sub6001_031_partir.wav,7.3048,7.3048,fmri_naming_task-20251125-085948-LQVJJ.log,3305
32,1,32,32,trial-032-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,303.5247,4.0,3,3,3,8,Sub6001_032_recibis.wav,9.3585,9.3585,fmri_naming_task-20251125-085948-LQVJJ.log,5358
