trial,session,session_trial,trial_index,trial_type,picture_type,picture_label,sprang_form,suffix,suffix_label,rule_type,rule_id,stim_onset_s,stim_duration_s,repetition,total_repetition,item_repetition,rule_repetition,audio_file,recording_duration_s,duration_for_fmri_s,log_file,jitter_ms
1,1,1,1,trial-001-partir,10,partir,partiondo,ir,-ir,rule_ir,2,10.5484,4.0,1,1,1,1,Sub6012_001_partir.wav,10.2015,10.2015,fmri_naming_task-20251204-154613-DLHRY.log,6201
2,1,2,2,trial-002-dominas,5,dominas,daminiando,as,-as,rule_as,3,21.2816,4.0,1,1,1,1,Sub6012_002_dominas.wav,10.861,10.861,fmri_naming_task-20251204-154613-DLHRY.log,6861
3,1,3,3,trial-003-definis,3,definis,dofiniondo,is,-is,rule_is,4,32.6648,4.0,1,1,1,1,Sub6012_003_definis.wav,9.1682,9.1682,fmri_naming_task-20251204-154613-DLHRY.log,5168
4,1,4,4,trial-004-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,42.3647,4.0,1,1,1,1,Sub6012_004_lavar.wav,8.0241,8.0241,fmri_naming_task-20251204-154613-DLHRY.log,4024
5,1,5,5,trial-005-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,50.9146,4.0,1,1,1,2,Sub6012_005_avanzar.wav,9.9154,9.9154,fmri_naming_task-20251204-154613-DLHRY.log,5915
6,1,6,6,trial-006-montas,9,montas,mantiando,as,-as,rule_as,3,61.3645,4.0,1,1,1,2,Sub6012_006_montas.wav,9.0906,9.0906,fmri_naming_task-20251204-154613-DLHRY.log,5091
7,1,7,7,trial-007-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,70.9811,4.0,1,1,1,2,Sub6012_007_recibis.wav,10.2594,10.2594,fmri_naming_task-20251204-154613-DLHRY.log,6259
8,1,8,8,trial-008-sentis,12,sentis,sontiondo,is,-is,rule_is,4,81.7643,4.0,1,1,1,3,Sub6012_008_sentis.wav,9.1053,9.1053,fmri_naming_task-20251204-154613-DLHRY.log,5105
9,1,9,9,trial-009-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,91.3962,4.0,1,1,1,3,Sub6012_009_comenzas.wav,9.1828,9.1828,fmri_naming_task-20251204-154613-DLHRY.log,5183
10,1,10,10,trial-010-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,101.1141,4.0,1,1,1,2,Sub6012_010_impedir.wav,8.0857,8.0857,fmri_naming_task-20251204-154613-DLHRY.log,4086
11,1,11,11,trial-011-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,109.7307,4.0,1,1,1,3,Sub6012_011_gustar.wav,9.9074,9.9074,fmri_naming_task-20251204-154613-DLHRY.log,5907
12,1,12,12,trial-012-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,120.164,4.0,1,1,1,3,Sub6012_012_deprimir.wav,8.7843,8.7843,fmri_naming_task-20251204-154613-DLHRY.log,4784
13,1,13,13,trial-013-definis,3,definis,dofiniondo,is,-is,rule_is,4,129.4805,4.0,2,2,2,4,Sub6012_013_definis.wav,9.2278,9.2278,fmri_naming_task-20251204-154613-DLHRY.log,5228
14,1,14,14,trial-014-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,139.2304,4.0,2,2,2,4,Sub6012_014_comenzas.wav,8.9902,8.9902,fmri_naming_task-20251204-154613-DLHRY.log,4990
15,1,15,15,trial-015-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,148.747,4.0,2,2,2,4,Sub6012_015_impedir.wav,7.3253,7.3253,fmri_naming_task-20251204-154613-DLHRY.log,3325
16,1,16,16,trial-016-montas,9,montas,mantiando,as,-as,rule_as,3,156.5969,4.0,2,2,2,5,Sub6012_016_montas.wav,10.3988,10.3988,fmri_naming_task-20251204-154613-DLHRY.log,6399
17,1,17,17,trial-017-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,167.5302,4.0,2,2,2,4,Sub6012_017_lavar.wav,9.766,9.766,fmri_naming_task-20251204-154613-DLHRY.log,5766
18,1,18,18,trial-018-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,177.8301,4.0,2,2,2,5,Sub6012_018_recibis.wav,11.1519,11.1519,fmri_naming_task-20251204-154613-DLHRY.log,7152
19,1,19,19,trial-019-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,189.5133,4.0,2,2,2,5,Sub6012_019_avanzar.wav,7.9382,7.9382,fmri_naming_task-20251204-154613-DLHRY.log,3938
20,1,20,20,trial-020-sentis,12,sentis,sontiondo,is,-is,rule_is,4,197.9799,4.0,2,2,2,6,Sub6012_020_sentis.wav,7.8989,7.8989,fmri_naming_task-20251204-154613-DLHRY.log,3899
21,1,21,21,trial-021-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,206.4131,4.0,2,2,2,6,Sub6012_021_gustar.wav,8.7091,8.7091,fmri_naming_task-20251204-154613-DLHRY.log,4709
22,1,22,22,trial-022-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,215.6464,4.0,2,2,2,5,Sub6012_022_deprimir.wav,7.2906,7.2906,fmri_naming_task-20251204-154613-DLHRY.log,3291
23,1,23,23,trial-023-partir,10,partir,partiondo,ir,-ir,rule_ir,2,223.4629,4.0,2,2,2,6,Sub6012_023_partir.wav,8.8795,8.8795,fmri_naming_task-20251204-154613-DLHRY.log,4879
24,1,24,24,trial-024-dominas,5,dominas,daminiando,as,-as,rule_as,3,232.8795,4.0,2,2,2,6,Sub6012_024_dominas.wav,7.2918,7.2918,fmri_naming_task-20251204-154613-DLHRY.log,3292
