trial,session,picture_type,picture_label,sprang_form,repetition,total_repetition,audio_file,jitter_ms
1,1,3,definis,dofiniondo,1,1,Sub6008_001_definis.wav,5198
2,1,6,gustar,gustiando,1,1,Sub6008_002_gustar.wav,4987
3,1,7,impedir,impediondo,1,1,Sub6008_003_impedir.wav,5732
4,1,2,comenzas,camenziando,1,1,Sub6008_004_comenzas.wav,6456
5,1,9,montas,mantiando,1,1,Sub6008_005_montas.wav,6449
6,1,1,avanzar,avanziando,1,1,Sub6008_006_avanzar.wav,5089
7,1,4,deprimir,deprimiondo,1,1,Sub6008_007_deprimir.wav,3981
8,1,12,sentis,sontiondo,1,1,Sub6008_008_sentis.wav,3563
9,1,8,lavar,laviando,1,1,Sub6008_009_lavar.wav,3536
10,1,5,dominas,damitiando,1,1,Sub6008_010_dominas.wav,5489
11,1,10,partir,partiondo,1,1,Sub6008_011_partir.wav,3712
12,1,11,recibis,rocibiondo,1,1,Sub6008_012_recibis.wav,4285
13,1,9,montas,mantiando,2,2,Sub6008_013_montas.wav,5883
14,1,2,comenzas,camenziando,2,2,Sub6008_014_comenzas.wav,6610
15,1,10,partir,partiondo,2,2,Sub6008_015_partir.wav,4631
16,1,12,sentis,sontiondo,2,2,Sub6008_016_sentis.wav,3970
17,1,5,dominas,damitiando,2,2,Sub6008_017_dominas.wav,4092
18,1,6,gustar,gustiando,2,2,Sub6008_018_gustar.wav,4125
19,1,7,impedir,impediondo,2,2,Sub6008_019_impedir.wav,4436
20,1,1,avanzar,avanziando,2,2,Sub6008_020_avanzar.wav,3971
21,1,3,definis,dofiniondo,2,2,Sub6008_021_definis.wav,3735
22,1,4,deprimir,deprimiondo,2,2,Sub6008_022_deprimir.wav,7564
23,1,8,lavar,laviando,2,2,Sub6008_023_lavar.wav,4724
24,1,11,recibis,rocibiondo,2,2,Sub6008_024_recibis.wav,6912
25,1,7,impedir,impediondo,3,3,Sub6008_025_impedir.wav,3380
26,1,2,comenzas,camenziando,3,3,Sub6008_026_comenzas.wav,5170
27,1,9,montas,mantiando,3,3,Sub6008_027_montas.wav,3859
28,1,11,recibis,rocibiondo,3,3,Sub6008_028_recibis.wav,3956
29,1,8,lavar,laviando,3,3,Sub6008_029_lavar.wav,4645
30,1,5,dominas,damitiando,3,3,Sub6008_030_dominas.wav,3539
