trial,session,session_trial,trial_index,trial_type,picture_type,picture_label,sprang_form,suffix,suffix_label,rule_type,rule_id,stim_onset_s,stim_duration_s,repetition,total_repetition,item_repetition,rule_repetition,audio_file,recording_duration_s,duration_for_fmri_s,log_file,jitter_ms
1,1,1,1,trial-001-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,10.5672,4.0,1,1,1,1,Sub6022_001_lavar.wav,8.4786,8.4786,fmri_naming_task-20251219-095518-VWEOA.log,4479
2,1,2,2,trial-002-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,19.5671,4.0,1,1,1,1,Sub6022_002_comenzas.wav,7.8206,7.8206,fmri_naming_task-20251219-095518-VWEOA.log,3821
3,1,3,3,trial-003-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,27.917,4.0,1,1,1,2,Sub6022_003_avanzar.wav,7.1964,7.1964,fmri_naming_task-20251219-095518-VWEOA.log,3196
4,1,4,4,trial-004-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,35.6503,4.0,1,1,1,1,Sub6022_004_impedir.wav,10.5992,10.5992,fmri_naming_task-20251219-095518-VWEOA.log,6599
5,1,5,5,trial-005-sentis,12,sentis,sontiondo,is,-is,rule_is,4,46.7835,4.0,1,1,1,1,Sub6022_005_sentis.wav,7.7545,7.7545,fmri_naming_task-20251219-095518-VWEOA.log,3754
6,1,6,6,trial-006-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,55.0667,4.0,1,1,1,2,Sub6022_006_deprimir.wav,9.9081,9.9081,fmri_naming_task-20251219-095518-VWEOA.log,5908
7,1,7,7,trial-007-definis,3,definis,dofiniondo,is,-is,rule_is,4,65.5,4.0,1,1,1,2,Sub6022_007_definis.wav,9.5173,9.5173,fmri_naming_task-20251219-095518-VWEOA.log,5517
8,1,8,8,trial-008-dominas,5,dominas,daminiando,as,-as,rule_as,3,75.5499,4.0,1,1,1,2,Sub6022_008_dominas.wav,8.6296,8.6296,fmri_naming_task-20251219-095518-VWEOA.log,4630
9,1,9,9,trial-009-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,84.7165,4.0,1,1,1,3,Sub6022_009_gustar.wav,9.7245,9.7245,fmri_naming_task-20251219-095518-VWEOA.log,5725
10,1,10,10,trial-010-partir,10,partir,partiondo,ir,-ir,rule_ir,2,94.9664,4.0,1,1,1,3,Sub6022_010_partir.wav,8.8544,8.8544,fmri_naming_task-20251219-095518-VWEOA.log,4854
11,1,11,11,trial-011-montas,9,montas,mantiando,as,-as,rule_as,3,104.3496,4.0,1,1,1,3,Sub6022_011_montas.wav,8.5144,8.5144,fmri_naming_task-20251219-095518-VWEOA.log,4514
12,1,12,12,trial-012-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,113.3995,4.0,1,1,1,3,Sub6022_012_recibis.wav,9.5581,9.5581,fmri_naming_task-20251219-095518-VWEOA.log,5558
13,1,13,13,trial-013-dominas,5,dominas,daminiando,as,-as,rule_as,3,123.4827,4.0,2,2,2,4,Sub6022_013_dominas.wav,8.2437,8.2437,fmri_naming_task-20251219-095518-VWEOA.log,4244
14,1,14,14,trial-014-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,132.2493,4.0,2,2,2,4,Sub6022_014_deprimir.wav,8.7604,8.7604,fmri_naming_task-20251219-095518-VWEOA.log,4760
15,1,15,15,trial-015-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,141.5326,4.0,2,2,2,4,Sub6022_015_recibis.wav,9.3288,9.3288,fmri_naming_task-20251219-095518-VWEOA.log,5329
16,1,16,16,trial-016-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,151.3991,4.0,2,2,2,4,Sub6022_016_gustar.wav,8.351,8.351,fmri_naming_task-20251219-095518-VWEOA.log,4351
17,1,17,17,trial-017-definis,3,definis,dofiniondo,is,-is,rule_is,4,160.2824,4.0,2,2,2,5,Sub6022_017_definis.wav,10.6091,10.6091,fmri_naming_task-20251219-095518-VWEOA.log,6609
18,1,18,18,trial-018-montas,9,montas,mantiando,as,-as,rule_as,3,171.4156,4.0,2,2,2,5,Sub6022_018_montas.wav,8.9358,8.9358,fmri_naming_task-20251219-095518-VWEOA.log,4936
19,1,19,19,trial-019-sentis,12,sentis,sontiondo,is,-is,rule_is,4,180.8821,4.0,2,2,2,6,Sub6022_019_sentis.wav,9.8372,9.8372,fmri_naming_task-20251219-095518-VWEOA.log,5837
20,1,20,20,trial-020-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,191.2488,4.0,2,2,2,5,Sub6022_020_avanzar.wav,7.6373,7.6373,fmri_naming_task-20251219-095518-VWEOA.log,3637
21,1,21,21,trial-021-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,199.4152,4.0,2,2,2,6,Sub6022_021_comenzas.wav,11.6961,11.6961,fmri_naming_task-20251219-095518-VWEOA.log,7696
22,1,22,22,trial-022-partir,10,partir,partiondo,ir,-ir,rule_ir,2,211.6486,4.0,2,2,2,5,Sub6022_022_partir.wav,9.6829,9.6829,fmri_naming_task-20251219-095518-VWEOA.log,5683
23,1,23,23,trial-023-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,221.8651,4.0,2,2,2,6,Sub6022_023_lavar.wav,11.4074,11.4074,fmri_naming_task-20251219-095518-VWEOA.log,7407
24,1,24,24,trial-024-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,233.7983,4.0,2,2,2,6,Sub6022_024_impedir.wav,10.4518,10.4518,fmri_naming_task-20251219-095518-VWEOA.log,6452
25,1,25,25,trial-025-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,244.7816,4.0,3,3,3,7,Sub6022_025_comenzas.wav,10.4195,10.4195,fmri_naming_task-20251219-095518-VWEOA.log,6419
26,1,26,26,trial-026-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,255.7315,4.0,3,3,3,7,Sub6022_026_avanzar.wav,7.6486,7.6486,fmri_naming_task-20251219-095518-VWEOA.log,3649
27,1,27,27,trial-027-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,263.9147,4.0,3,3,3,7,Sub6022_027_recibis.wav,10.9563,10.9563,fmri_naming_task-20251219-095518-VWEOA.log,6956
28,1,28,28,trial-028-montas,9,montas,mantiando,as,-as,rule_as,3,275.3979,4.0,3,3,3,8,Sub6022_028_montas.wav,8.6242,8.6242,fmri_naming_task-20251219-095518-VWEOA.log,4624
29,1,29,29,trial-029-definis,3,definis,dofiniondo,is,-is,rule_is,4,284.5478,4.0,3,3,3,8,Sub6022_029_definis.wav,9.575,9.575,fmri_naming_task-20251219-095518-VWEOA.log,5575
30,1,30,30,trial-030-partir,10,partir,partiondo,ir,-ir,rule_ir,2,294.6644,4.0,3,3,3,7,Sub6022_030_partir.wav,8.9637,8.9637,fmri_naming_task-20251219-095518-VWEOA.log,4964
31,1,31,31,trial-031-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,304.181,4.0,3,3,3,8,Sub6022_031_deprimir.wav,10.2879,10.2879,fmri_naming_task-20251219-095518-VWEOA.log,6288
32,1,32,32,trial-032-dominas,5,dominas,daminiando,as,-as,rule_as,3,314.9975,4.0,3,3,3,9,Sub6022_032_dominas.wav,10.8875,10.8875,fmri_naming_task-20251219-095518-VWEOA.log,6888
33,1,33,33,trial-033-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,326.4141,4.0,3,3,3,8,Sub6022_033_lavar.wav,8.3517,8.3517,fmri_naming_task-20251219-095518-VWEOA.log,4352
34,1,34,34,trial-034-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,335.2974,4.0,3,3,3,9,Sub6022_034_gustar.wav,9.1864,9.1864,fmri_naming_task-20251219-095518-VWEOA.log,5186
35,1,35,35,trial-035-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,345.0139,4.0,3,3,3,9,Sub6022_035_impedir.wav,8.8893,8.8893,fmri_naming_task-20251219-095518-VWEOA.log,4889
36,1,36,36,trial-036-sentis,12,sentis,sontiondo,is,-is,rule_is,4,354.4305,4.0,3,3,3,9,Sub6022_036_sentis.wav,7.6409,7.6409,fmri_naming_task-20251219-095518-VWEOA.log,3641
37,1,37,37,trial-037-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,362.5971,4.0,4,4,4,10,Sub6022_037_recibis.wav,8.4825,8.4825,fmri_naming_task-20251219-095518-VWEOA.log,4483
38,1,38,38,trial-038-partir,10,partir,partiondo,ir,-ir,rule_ir,2,371.6137,4.0,4,4,4,10,Sub6022_038_partir.wav,10.5512,10.5512,fmri_naming_task-20251219-095518-VWEOA.log,6551
39,1,39,39,trial-039-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,382.6969,4.0,4,4,4,10,Sub6022_039_lavar.wav,10.3917,10.3917,fmri_naming_task-20251219-095518-VWEOA.log,6392
40,1,40,40,trial-040-dominas,5,dominas,daminiando,as,-as,rule_as,3,393.6135,4.0,4,4,4,10,Sub6022_040_dominas.wav,7.9021,7.9021,fmri_naming_task-20251219-095518-VWEOA.log,3902
41,1,41,41,trial-041-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,402.0467,4.0,4,4,4,11,Sub6022_041_gustar.wav,8.2129,8.2129,fmri_naming_task-20251219-095518-VWEOA.log,4213
42,1,42,42,trial-042-sentis,12,sentis,sontiondo,is,-is,rule_is,4,410.7966,4.0,4,4,4,11,Sub6022_042_sentis.wav,8.2225,8.2225,fmri_naming_task-20251219-095518-VWEOA.log,4222
43,1,43,43,trial-043-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,419.5465,4.0,4,4,4,11,Sub6022_043_comenzas.wav,11.8561,11.8561,fmri_naming_task-20251219-095518-VWEOA.log,7856
44,1,44,44,trial-044-definis,3,definis,dofiniondo,is,-is,rule_is,4,431.9464,4.0,4,4,4,12,Sub6022_044_definis.wav,8.7047,8.7047,fmri_naming_task-20251219-095518-VWEOA.log,4705
45,1,45,45,trial-045-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,441.1797,4.0,4,4,4,12,Sub6022_045_avanzar.wav,9.4517,9.4517,fmri_naming_task-20251219-095518-VWEOA.log,5452
46,1,46,46,trial-046-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,451.1629,4.0,4,4,4,11,Sub6022_046_deprimir.wav,9.7602,9.7602,fmri_naming_task-20251219-095518-VWEOA.log,5760
47,1,47,47,trial-047-montas,9,montas,mantiando,as,-as,rule_as,3,461.4628,4.0,4,4,4,12,Sub6022_047_montas.wav,10.8862,10.8862,fmri_naming_task-20251219-095518-VWEOA.log,6886
48,1,48,48,trial-048-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,472.896,4.0,4,4,4,12,Sub6022_048_impedir.wav,7.8457,7.8457,fmri_naming_task-20251219-095518-VWEOA.log,3846
49,1,49,49,trial-049-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,481.2626,4.0,5,5,5,13,Sub6022_049_lavar.wav,9.5519,9.5519,fmri_naming_task-20251219-095518-VWEOA.log,5552
50,1,50,50,trial-050-dominas,5,dominas,daminiando,as,-as,rule_as,3,491.3458,4.0,5,5,5,13,Sub6022_050_dominas.wav,8.4067,8.4067,fmri_naming_task-20251219-095518-VWEOA.log,4407
51,1,51,51,trial-051-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,500.2791,4.0,5,5,5,13,Sub6022_051_impedir.wav,9.0438,9.0438,fmri_naming_task-20251219-095518-VWEOA.log,5044
52,1,52,52,trial-052-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,509.8457,4.0,5,5,5,14,Sub6022_052_comenzas.wav,8.5547,8.5547,fmri_naming_task-20251219-095518-VWEOA.log,4555
53,1,53,53,trial-053-definis,3,definis,dofiniondo,is,-is,rule_is,4,518.9289,4.0,5,5,5,13,Sub6022_053_definis.wav,9.2399,9.2399,fmri_naming_task-20251219-095518-VWEOA.log,5240
54,1,54,54,trial-054-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,528.6955,4.0,5,5,5,14,Sub6022_054_recibis.wav,9.7167,9.7167,fmri_naming_task-20251219-095518-VWEOA.log,5717
55,1,55,55,trial-055-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,538.9454,4.0,5,5,5,14,Sub6022_055_deprimir.wav,7.4525,7.4525,fmri_naming_task-20251219-095518-VWEOA.log,3452
56,1,56,56,trial-056-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,546.9286,4.0,5,5,5,14,Sub6022_056_gustar.wav,9.5423,9.5423,fmri_naming_task-20251219-095518-VWEOA.log,5542
57,1,57,57,trial-057-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,556.9952,4.0,5,5,5,15,Sub6022_057_avanzar.wav,9.9881,9.9881,fmri_naming_task-20251219-095518-VWEOA.log,5988
58,1,58,58,trial-058-montas,9,montas,mantiando,as,-as,rule_as,3,567.5118,4.0,5,5,5,15,Sub6022_058_montas.wav,7.6611,7.6611,fmri_naming_task-20251219-095518-VWEOA.log,3661
59,1,59,59,trial-059-sentis,12,sentis,sontiondo,is,-is,rule_is,4,575.695,4.0,5,5,5,15,Sub6022_059_sentis.wav,8.9581,8.9581,fmri_naming_task-20251219-095518-VWEOA.log,4958
60,1,60,60,trial-060-partir,10,partir,partiondo,ir,-ir,rule_ir,2,585.1783,4.0,5,5,5,15,Sub6022_060_partir.wav,7.6178,7.6178,fmri_naming_task-20251219-095518-VWEOA.log,3618
61,2,1,61,trial-061-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,10.5399,4.0,1,6,6,16,Sub6022_061_comenzas.wav,8.3017,8.3017,fmri_naming_task-20251219-100808-UVHMF.log,4302
62,2,2,62,trial-062-montas,9,montas,mantiando,as,-as,rule_as,3,19.3731,4.0,1,6,6,17,Sub6022_062_montas.wav,7.8019,7.8019,fmri_naming_task-20251219-100808-UVHMF.log,3802
63,2,3,63,trial-063-definis,3,definis,dofiniondo,is,-is,rule_is,4,27.7064,4.0,1,6,6,16,Sub6022_063_definis.wav,9.2295,9.2295,fmri_naming_task-20251219-100808-UVHMF.log,5229
64,2,4,64,trial-064-dominas,5,dominas,daminiando,as,-as,rule_as,3,37.4729,4.0,1,6,6,18,Sub6022_064_dominas.wav,9.6211,9.6211,fmri_naming_task-20251219-100808-UVHMF.log,5621
65,2,5,65,trial-065-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,47.6228,4.0,1,6,6,16,Sub6022_065_deprimir.wav,11.7533,11.7533,fmri_naming_task-20251219-100808-UVHMF.log,7753
66,2,6,66,trial-066-sentis,12,sentis,sontiondo,is,-is,rule_is,4,59.906,4.0,1,6,6,17,Sub6022_066_sentis.wav,9.0162,9.0162,fmri_naming_task-20251219-100808-UVHMF.log,5016
67,2,7,67,trial-067-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,69.456,4.0,1,6,6,18,Sub6022_067_recibis.wav,8.4945,8.4945,fmri_naming_task-20251219-100808-UVHMF.log,4494
68,2,8,68,trial-068-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,78.4725,4.0,1,6,6,16,Sub6022_068_lavar.wav,9.5177,9.5177,fmri_naming_task-20251219-100808-UVHMF.log,5518
69,2,9,69,trial-069-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,88.5224,4.0,1,6,6,17,Sub6022_069_impedir.wav,8.6725,8.6725,fmri_naming_task-20251219-100808-UVHMF.log,4672
70,2,10,70,trial-070-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,97.7224,4.0,1,6,6,17,Sub6022_070_avanzar.wav,7.1349,7.1349,fmri_naming_task-20251219-100808-UVHMF.log,3135
71,2,11,71,trial-071-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,105.3889,4.0,1,6,6,18,Sub6022_071_gustar.wav,7.7963,7.7963,fmri_naming_task-20251219-100808-UVHMF.log,3796
72,2,12,72,trial-072-partir,10,partir,partiondo,ir,-ir,rule_ir,2,113.7222,4.0,1,6,6,18,Sub6022_072_partir.wav,9.1731,9.1731,fmri_naming_task-20251219-100808-UVHMF.log,5173
73,2,13,73,trial-073-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,123.4221,4.0,2,7,7,19,Sub6022_073_impedir.wav,8.4875,8.4875,fmri_naming_task-20251219-100808-UVHMF.log,4487
74,2,14,74,trial-074-partir,10,partir,partiondo,ir,-ir,rule_ir,2,132.4379,4.0,2,7,7,20,Sub6022_074_partir.wav,8.6171,8.6171,fmri_naming_task-20251219-100808-UVHMF.log,4617
75,2,15,75,trial-075-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,141.5886,4.0,2,7,7,19,Sub6022_075_comenzas.wav,10.6919,10.6919,fmri_naming_task-20251219-100808-UVHMF.log,6692
76,2,16,76,trial-076-definis,3,definis,dofiniondo,is,-is,rule_is,4,152.8052,4.0,2,7,7,19,Sub6022_076_definis.wav,7.2523,7.2523,fmri_naming_task-20251219-100808-UVHMF.log,3252
77,2,17,77,trial-077-dominas,5,dominas,daminiando,as,-as,rule_as,3,160.5884,4.0,2,7,7,20,Sub6022_077_dominas.wav,8.3156,8.3156,fmri_naming_task-20251219-100808-UVHMF.log,4316
78,2,18,78,trial-078-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,169.4383,4.0,2,7,7,19,Sub6022_078_gustar.wav,8.6518,8.6518,fmri_naming_task-20251219-100808-UVHMF.log,4652
79,2,19,79,trial-079-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,178.6216,4.0,2,7,7,20,Sub6022_079_avanzar.wav,8.7953,8.7953,fmri_naming_task-20251219-100808-UVHMF.log,4795
80,2,20,80,trial-080-sentis,12,sentis,sontiondo,is,-is,rule_is,4,187.9382,4.0,2,7,7,20,Sub6022_080_sentis.wav,8.1931,8.1931,fmri_naming_task-20251219-100808-UVHMF.log,4193
81,2,21,81,trial-081-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,196.6547,4.0,2,7,7,21,Sub6022_081_deprimir.wav,7.9713,7.9713,fmri_naming_task-20251219-100808-UVHMF.log,3971
82,2,22,82,trial-082-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,205.1547,4.0,2,7,7,21,Sub6022_082_recibis.wav,8.8823,8.8823,fmri_naming_task-20251219-100808-UVHMF.log,4882
83,2,23,83,trial-083-montas,9,montas,mantiando,as,-as,rule_as,3,214.5712,4.0,2,7,7,21,Sub6022_083_montas.wav,8.2241,8.2241,fmri_naming_task-20251219-100808-UVHMF.log,4224
84,2,24,84,trial-084-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,223.3211,4.0,2,7,7,21,Sub6022_084_lavar.wav,10.8882,10.8882,fmri_naming_task-20251219-100808-UVHMF.log,6888
85,2,25,85,trial-085-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,234.7377,4.0,3,8,8,22,Sub6022_085_avanzar.wav,8.6602,8.6602,fmri_naming_task-20251219-100808-UVHMF.log,4660
86,2,26,86,trial-086-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,243.9209,4.0,3,8,8,22,Sub6022_086_impedir.wav,8.8066,8.8066,fmri_naming_task-20251219-100808-UVHMF.log,4807
87,2,27,87,trial-087-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,253.2542,4.0,3,8,8,22,Sub6022_087_comenzas.wav,10.9836,10.9836,fmri_naming_task-20251219-100808-UVHMF.log,6984
88,2,28,88,trial-088-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,264.7707,4.0,3,8,8,23,Sub6022_088_lavar.wav,8.7583,8.7583,fmri_naming_task-20251219-100808-UVHMF.log,4758
89,2,29,89,trial-089-dominas,5,dominas,daminiando,as,-as,rule_as,3,274.054,4.0,3,8,8,23,Sub6022_089_dominas.wav,7.6843,7.6843,fmri_naming_task-20251219-100808-UVHMF.log,3684
90,2,30,90,trial-090-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,282.2706,4.0,3,8,8,23,Sub6022_090_deprimir.wav,8.072,8.072,fmri_naming_task-20251219-100808-UVHMF.log,4072
91,2,31,91,trial-091-sentis,12,sentis,sontiondo,is,-is,rule_is,4,290.8705,4.0,3,8,8,22,Sub6022_091_sentis.wav,8.0557,8.0557,fmri_naming_task-20251219-100808-UVHMF.log,4056
92,2,32,92,trial-092-montas,9,montas,mantiando,as,-as,rule_as,3,299.4537,4.0,3,8,8,24,Sub6022_092_montas.wav,8.9289,8.9289,fmri_naming_task-20251219-100808-UVHMF.log,4929
93,2,33,93,trial-093-definis,3,definis,dofiniondo,is,-is,rule_is,4,308.9036,4.0,3,8,8,23,Sub6022_093_definis.wav,9.0689,9.0689,fmri_naming_task-20251219-100808-UVHMF.log,5069
