trial,session,session_trial,trial_index,trial_type,picture_type,picture_label,sprang_form,suffix,suffix_label,rule_type,rule_id,stim_onset_s,stim_duration_s,repetition,total_repetition,item_repetition,rule_repetition,audio_file,recording_duration_s,duration_for_fmri_s,log_file,jitter_ms
1,1,1,1,trial-001-sentis,12,sentis,sontiondo,is,-is,rule_is,4,10.5259,4.0,1,1,1,1,Sub6004_001_sentis.wav,9.9347,9.9347,fmri_naming_task-20251125-152018-EZQJD.log,5935
2,1,2,2,trial-002-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,20.9925,4.0,1,1,1,2,Sub6004_002_recibis.wav,9.9392,9.9392,fmri_naming_task-20251125-152018-EZQJD.log,5939
3,1,3,3,trial-003-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,31.4591,4.0,1,1,1,1,Sub6004_003_lavar.wav,9.5029,9.5029,fmri_naming_task-20251125-152018-EZQJD.log,5503
4,1,4,4,trial-004-dominas,5,dominas,daminiando,as,-as,rule_as,3,41.4923,4.0,1,1,1,1,Sub6004_004_dominas.wav,9.357,9.357,fmri_naming_task-20251125-152018-EZQJD.log,5357
5,1,5,5,trial-005-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,51.3756,4.0,1,1,1,2,Sub6004_005_avanzar.wav,8.3666,8.3666,fmri_naming_task-20251125-152018-EZQJD.log,4367
6,1,6,6,trial-006-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,60.2755,4.0,1,1,1,2,Sub6004_006_comenzas.wav,8.2782,8.2782,fmri_naming_task-20251125-152018-EZQJD.log,4278
7,1,7,7,trial-007-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,69.0754,4.0,1,1,1,3,Sub6004_007_gustar.wav,8.667,8.667,fmri_naming_task-20251125-152018-EZQJD.log,4667
8,1,8,8,trial-008-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,78.2753,4.0,1,1,1,1,Sub6004_008_impedir.wav,11.7721,11.7721,fmri_naming_task-20251125-152018-EZQJD.log,7772
9,1,9,9,trial-009-definis,3,definis,dofiniondo,is,-is,rule_is,4,90.5752,4.0,1,1,1,3,Sub6004_009_definis.wav,8.44,8.44,fmri_naming_task-20251125-152018-EZQJD.log,4440
10,1,10,10,trial-010-montas,9,montas,mantiando,as,-as,rule_as,3,99.5418,4.0,1,1,1,3,Sub6004_010_montas.wav,8.244,8.244,fmri_naming_task-20251125-152018-EZQJD.log,4244
11,1,11,11,trial-011-partir,10,partir,partiondo,ir,-ir,rule_ir,2,108.3084,4.0,1,1,1,2,Sub6004_011_partir.wav,10.2138,10.2138,fmri_naming_task-20251125-152018-EZQJD.log,6214
12,1,12,12,trial-012-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,119.0583,4.0,1,1,1,3,Sub6004_012_deprimir.wav,9.4236,9.4236,fmri_naming_task-20251125-152018-EZQJD.log,5424
13,1,13,13,trial-013-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,129.0082,4.0,2,2,2,4,Sub6004_013_impedir.wav,8.3348,8.3348,fmri_naming_task-20251125-152018-EZQJD.log,4335
14,1,14,14,trial-014-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,137.8748,4.0,2,2,2,4,Sub6004_014_gustar.wav,8.164,8.164,fmri_naming_task-20251125-152018-EZQJD.log,4164
15,1,15,15,trial-015-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,146.5747,4.0,2,2,2,5,Sub6004_015_avanzar.wav,8.3192,8.3192,fmri_naming_task-20251125-152018-EZQJD.log,4319
16,1,16,16,trial-016-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,155.4246,4.0,2,2,2,4,Sub6004_016_comenzas.wav,8.6011,8.6011,fmri_naming_task-20251125-152018-EZQJD.log,4601
17,1,17,17,trial-017-sentis,12,sentis,sontiondo,is,-is,rule_is,4,164.5579,4.0,2,2,2,4,Sub6004_017_sentis.wav,10.8624,10.8624,fmri_naming_task-20251125-152018-EZQJD.log,6862
18,1,18,18,trial-018-partir,10,partir,partiondo,ir,-ir,rule_ir,2,175.9744,4.0,2,2,2,5,Sub6004_018_partir.wav,10.4321,10.4321,fmri_naming_task-20251125-152018-EZQJD.log,6432
19,1,19,19,trial-019-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,186.941,4.0,2,2,2,5,Sub6004_019_recibis.wav,10.735,10.735,fmri_naming_task-20251125-152018-EZQJD.log,6735
20,1,20,20,trial-020-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,198.2076,4.0,2,2,2,6,Sub6004_020_lavar.wav,9.1601,9.1601,fmri_naming_task-20251125-152018-EZQJD.log,5160
21,1,21,21,trial-021-montas,9,montas,mantiando,as,-as,rule_as,3,207.8908,4.0,2,2,2,5,Sub6004_021_montas.wav,11.2085,11.2085,fmri_naming_task-20251125-152018-EZQJD.log,7208
22,1,22,22,trial-022-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,219.624,4.0,2,2,2,6,Sub6004_022_deprimir.wav,8.2066,8.2066,fmri_naming_task-20251125-152018-EZQJD.log,4207
23,1,23,23,trial-023-definis,3,definis,dofiniondo,is,-is,rule_is,4,228.374,4.0,2,2,2,6,Sub6004_023_definis.wav,10.0381,10.0381,fmri_naming_task-20251125-152018-EZQJD.log,6038
24,1,24,24,trial-024-dominas,5,dominas,daminiando,as,-as,rule_as,3,238.9405,4.0,2,2,2,6,Sub6004_024_dominas.wav,9.7605,9.7605,fmri_naming_task-20251125-152018-EZQJD.log,5761
25,1,25,25,trial-025-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,249.2238,4.0,3,3,3,7,Sub6004_025_impedir.wav,7.6592,7.6592,fmri_naming_task-20251125-152018-EZQJD.log,3659
26,1,26,26,trial-026-montas,9,montas,mantiando,as,-as,rule_as,3,257.407,4.0,3,3,3,7,Sub6004_026_montas.wav,9.6665,9.6665,fmri_naming_task-20251125-152018-EZQJD.log,5666
27,1,27,27,trial-027-dominas,5,dominas,daminiando,as,-as,rule_as,3,267.6236,4.0,3,3,3,8,Sub6004_027_dominas.wav,7.6742,7.6742,fmri_naming_task-20251125-152018-EZQJD.log,3674
28,1,28,28,trial-028-definis,3,definis,dofiniondo,is,-is,rule_is,4,275.8235,4.0,3,3,3,7,Sub6004_028_definis.wav,9.5092,9.5092,fmri_naming_task-20251125-152018-EZQJD.log,5509
29,1,29,29,trial-029-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,285.8568,4.0,3,3,3,7,Sub6004_029_lavar.wav,9.0237,9.0237,fmri_naming_task-20251125-152018-EZQJD.log,5024
30,1,30,30,trial-030-partir,10,partir,partiondo,ir,-ir,rule_ir,2,295.4067,4.0,3,3,3,8,Sub6004_030_partir.wav,8.6883,8.6883,fmri_naming_task-20251125-152018-EZQJD.log,4688
31,1,31,31,trial-031-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,304.6233,4.0,3,3,3,8,Sub6004_031_avanzar.wav,10.304,10.304,fmri_naming_task-20251125-152018-EZQJD.log,6304
32,1,32,32,trial-032-sentis,12,sentis,sontiondo,is,-is,rule_is,4,315.4565,4.0,3,3,3,8,Sub6004_032_sentis.wav,8.7888,8.7888,fmri_naming_task-20251125-152018-EZQJD.log,4789
33,1,33,33,trial-033-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,324.7731,4.0,3,3,3,9,Sub6004_033_recibis.wav,10.4781,10.4781,fmri_naming_task-20251125-152018-EZQJD.log,6478
34,1,34,34,trial-034-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,335.773,4.0,3,3,3,9,Sub6004_034_gustar.wav,8.551,8.551,fmri_naming_task-20251125-152018-EZQJD.log,4551
35,1,35,35,trial-035-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,344.8562,4.0,3,3,3,9,Sub6004_035_deprimir.wav,9.305,9.305,fmri_naming_task-20251125-152018-EZQJD.log,5305
36,1,36,36,trial-036-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,354.6895,4.0,3,3,3,9,Sub6004_036_comenzas.wav,11.0199,11.0199,fmri_naming_task-20251125-152018-EZQJD.log,7020
37,1,37,37,trial-037-dominas,5,dominas,daminiando,as,-as,rule_as,3,366.2394,4.0,4,4,4,10,Sub6004_037_dominas.wav,11.0598,11.0598,fmri_naming_task-20251125-152018-EZQJD.log,7060
