trial,session,session_trial,trial_index,trial_type,picture_type,picture_label,sprang_form,suffix,suffix_label,rule_type,rule_id,stim_onset_s,stim_duration_s,repetition,total_repetition,item_repetition,rule_repetition,audio_file,recording_duration_s,duration_for_fmri_s,log_file,jitter_ms
1,1,1,1,trial-001-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,10.5495,4.0,1,1,1,1,Sub6006_001_recibis.wav,9.8389,9.8389,fmri_naming_task-20251125-174841-QXQZB.log,5839
2,1,2,2,trial-002-sentis,12,sentis,sontiondo,is,-is,rule_is,4,20.9161,4.0,1,1,1,2,Sub6006_002_sentis.wav,10.5702,10.5702,fmri_naming_task-20251125-174841-QXQZB.log,6570
3,1,3,3,trial-003-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,32.0326,4.0,1,1,1,1,Sub6006_003_gustar.wav,10.8527,10.8527,fmri_naming_task-20251125-174841-QXQZB.log,6853
4,1,4,4,trial-004-dominas,5,dominas,daminiando,as,-as,rule_as,3,43.4159,4.0,1,1,1,1,Sub6006_004_dominas.wav,8.8945,8.8945,fmri_naming_task-20251125-174841-QXQZB.log,4895
5,1,5,5,trial-005-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,52.8325,4.0,1,1,1,2,Sub6006_005_avanzar.wav,7.3633,7.3633,fmri_naming_task-20251125-174841-QXQZB.log,3363
6,1,6,6,trial-006-definis,3,definis,dofiniondo,is,-is,rule_is,4,60.7324,4.0,1,1,1,3,Sub6006_006_definis.wav,10.4587,10.4587,fmri_naming_task-20251125-174841-QXQZB.log,6459
7,1,7,7,trial-007-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,71.7156,4.0,1,1,1,1,Sub6006_007_impedir.wav,8.1427,8.1427,fmri_naming_task-20251125-174841-QXQZB.log,4143
8,1,8,8,trial-008-montas,9,montas,mantiando,as,-as,rule_as,3,80.3822,4.0,1,1,1,2,Sub6006_008_montas.wav,7.984,7.984,fmri_naming_task-20251125-174841-QXQZB.log,3984
9,1,9,9,trial-009-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,88.8988,4.0,1,1,1,3,Sub6006_009_lavar.wav,8.1691,8.1691,fmri_naming_task-20251125-174841-QXQZB.log,4169
10,1,10,10,trial-010-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,97.5987,4.0,1,1,1,3,Sub6006_010_comenzas.wav,10.1238,10.1238,fmri_naming_task-20251125-174841-QXQZB.log,6124
11,1,11,11,trial-011-partir,10,partir,partiondo,ir,-ir,rule_ir,2,108.2486,4.0,1,1,1,2,Sub6006_011_partir.wav,7.8436,7.8436,fmri_naming_task-20251125-174841-QXQZB.log,3844
12,1,12,12,trial-012-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,116.6152,4.0,1,1,1,3,Sub6006_012_deprimir.wav,8.323,8.323,fmri_naming_task-20251125-174841-QXQZB.log,4323
13,1,13,13,trial-013-impedir,7,impedir,impediondo,ir,-ir,rule_ir,2,125.4651,4.0,2,2,2,4,Sub6006_013_impedir.wav,11.0151,11.0151,fmri_naming_task-20251125-174841-QXQZB.log,7015
14,1,14,14,trial-014-montas,9,montas,mantiando,as,-as,rule_as,3,137.015,4.0,2,2,2,4,Sub6006_014_montas.wav,9.5226,9.5226,fmri_naming_task-20251125-174841-QXQZB.log,5523
15,1,15,15,trial-015-recibis,11,recibis,rocibiondo,is,-is,rule_is,4,147.0649,4.0,2,2,2,4,Sub6006_015_recibis.wav,8.1209,8.1209,fmri_naming_task-20251125-174841-QXQZB.log,4121
16,1,16,16,trial-016-sentis,12,sentis,sontiondo,is,-is,rule_is,4,155.7315,4.0,2,2,2,5,Sub6006_016_sentis.wav,9.5598,9.5598,fmri_naming_task-20251125-174841-QXQZB.log,5560
17,1,17,17,trial-017-gustar,6,gustar,gustiando,ar,-ar,rule_ar,1,165.8147,4.0,2,2,2,4,Sub6006_017_gustar.wav,8.4116,8.4116,fmri_naming_task-20251125-174841-QXQZB.log,4412
18,1,18,18,trial-018-lavar,8,lavar,laviando,ar,-ar,rule_ar,1,174.748,4.0,2,2,2,5,Sub6006_018_lavar.wav,9.9512,9.9512,fmri_naming_task-20251125-174841-QXQZB.log,5951
19,1,19,19,trial-019-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,185.2312,4.0,2,2,2,5,Sub6006_019_comenzas.wav,7.4947,7.4947,fmri_naming_task-20251125-174841-QXQZB.log,3495
20,1,20,20,trial-020-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,193.2645,4.0,2,2,2,5,Sub6006_020_deprimir.wav,8.0265,8.0265,fmri_naming_task-20251125-174841-QXQZB.log,4027
21,1,21,21,trial-021-avanzar,1,avanzar,avanziando,ar,-ar,rule_ar,1,201.8144,4.0,2,2,2,6,Sub6006_021_avanzar.wav,8.0965,8.0965,fmri_naming_task-20251125-174841-QXQZB.log,4096
22,1,22,22,trial-022-dominas,5,dominas,daminiando,as,-as,rule_as,3,210.4477,4.0,2,2,2,6,Sub6006_022_dominas.wav,9.3807,9.3807,fmri_naming_task-20251125-174841-QXQZB.log,5381
23,1,23,23,trial-023-definis,3,definis,dofiniondo,is,-is,rule_is,4,220.3642,4.0,2,2,2,6,Sub6006_023_definis.wav,10.4692,10.4692,fmri_naming_task-20251125-174841-QXQZB.log,6469
24,1,24,24,trial-024-partir,10,partir,partiondo,ir,-ir,rule_ir,2,231.3641,4.0,2,2,2,6,Sub6006_024_partir.wav,10.6869,10.6869,fmri_naming_task-20251125-174841-QXQZB.log,6687
25,1,25,25,trial-025-comenzas,2,comenzas,camenziando,as,-as,rule_as,3,242.5807,4.0,3,3,3,7,Sub6006_025_comenzas.wav,11.1566,11.1566,fmri_naming_task-20251125-174841-QXQZB.log,7157
26,1,26,26,trial-026-sentis,12,sentis,sontiondo,is,-is,rule_is,4,254.2639,4.0,3,3,3,7,Sub6006_026_sentis.wav,8.0759,8.0759,fmri_naming_task-20251125-174841-QXQZB.log,4076
27,1,27,27,trial-027-deprimir,4,deprimir,deprimiondo,ir,-ir,rule_ir,2,262.8638,4.0,3,3,3,7,Sub6006_027_deprimir.wav,9.3771,9.3771,fmri_naming_task-20251125-174841-QXQZB.log,5377
